Time (CET/CEST),Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
03.01.2015 01:15 - 03.01.2015 01:30,47828,48655
03.01.2015 01:30 - 03.01.2015 01:45,47395,48031
03.01.2015 01:45 - 03.01.2015 02:00,47091,47702
03.01.2015 02:00 - 03.01.2015 02:15,46753,47330
03.01.2015 02:15 - 03.01.2015 02:30,46527,46790
03.01.2015 02:30 - 03.01.2015 02:45,46400,46501
03.01.2015 02:45 - 03.01.2015 03:00,46335,46368
03.01.2015 03:00 - 03.01.2015 03:15,46321,46285
03.01.2015 03:15 - 03.01.2015 03:30,46164,46180
03.01.2015 03:30 - 03.01.2015 03:45,46490,46361
03.01.2015 03:45 - 03.01.2015 04:00,46732,46281
03.01.2015 04:00 - 03.01.2015 04:15,46656,46746
03.01.2015 04:15 - 03.01.2015 04:30,46500,46700
03.01.2015 04:30 - 03.01.2015 04:45,47098,46644
03.01.2015 04:45 - 03.01.2015 05:00,47217,46723
03.01.2015 05:00 - 03.01.2015 05:15,47039,47035
03.01.2015 05:15 - 03.01.2015 05:30,46788,46815
03.01.2015 05:30 - 03.01.2015 05:45,46848,46888
03.01.2015 05:45 - 03.01.2015 06:00,46811,47635
03.01.2015 06:00 - 03.01.2015 06:15,46832,47905
03.01.2015 06:15 - 03.01.2015 06:30,46859,48099
03.01.2015 06:30 - 03.01.2015 06:45,47281,48480
03.01.2015 06:45 - 03.01.2015 07:00,48042,48874
03.01.2015 07:00 - 03.01.2015 07:15,48922,49800
03.01.2015 07:15 - 03.01.2015 07:30,49706,50587
03.01.2015 07:30 - 03.01.2015 07:45,50655,51269
03.01.2015 07:45 - 03.01.2015 08:00,51632,52040
03.01.2015 08:00 - 03.01.2015 08:15,52841,53065
03.01.2015 08:15 - 03.01.2015 08:30,53636,53721
03.01.2015 08:30 - 03.01.2015 08:45,54539,54379
03.01.2015 08:45 - 03.01.2015 09:00,55286,55550
03.01.2015 09:00 - 03.01.2015 09:15,56352,56684
03.01.2015 09:15 - 03.01.2015 09:30,57214,57217
03.01.2015 09:30 - 03.01.2015 09:45,57672,58294
03.01.2015 09:45 - 03.01.2015 10:00,58158,59134
03.01.2015 10:00 - 03.01.2015 10:15,59025,59800
03.01.2015 10:15 - 03.01.2015 10:30,59491,60399
03.01.2015 10:30 - 03.01.2015 10:45,59694,60814
03.01.2015 10:45 - 03.01.2015 11:00,60126,61205
03.01.2015 11:00 - 03.01.2015 11:15,60503,61849
03.01.2015 11:15 - 03.01.2015 11:30,60930,62506
03.01.2015 11:30 - 03.01.2015 11:45,61192,63045
03.01.2015 11:45 - 03.01.2015 12:00,60909,63226
03.01.2015 12:00 - 03.01.2015 12:15,60772,61879
03.01.2015 12:15 - 03.01.2015 12:30,60497,61862
03.01.2015 12:30 - 03.01.2015 12:45,60174,62897
03.01.2015 12:45 - 03.01.2015 13:00,59980,62643
03.01.2015 13:00 - 03.01.2015 13:15,59681,62617
03.01.2015 13:15 - 03.01.2015 13:30,59379,62069
03.01.2015 13:30 - 03.01.2015 13:45,58866,61731
03.01.2015 13:45 - 03.01.2015 14:00,58775,61106
03.01.2015 14:00 - 03.01.2015 14:15,58308,61032
03.01.2015 14:15 - 03.01.2015 14:30,58028,60776
03.01.2015 14:30 - 03.01.2015 14:45,57731,60570
03.01.2015 14:45 - 03.01.2015 15:00,57606,60334
03.01.2015 15:00 - 03.01.2015 15:15,57677,60638
03.01.2015 15:15 - 03.01.2015 15:30,57220,60513
03.01.2015 15:30 - 03.01.2015 15:45,56657,60561
03.01.2015 15:45 - 03.01.2015 16:00,57312,60715
03.01.2015 16:00 - 03.01.2015 16:15,58082,61407
03.01.2015 16:15 - 03.01.2015 16:30,58468,62886
03.01.2015 16:30 - 03.01.2015 16:45,58800,63612
03.01.2015 16:45 - 03.01.2015 17:00,59511,64573
03.01.2015 17:00 - 03.01.2015 17:15,59919,66783
03.01.2015 17:15 - 03.01.2015 17:30,60835,67037
03.01.2015 17:30 - 03.01.2015 17:45,61071,67398
03.01.2015 17:45 - 03.01.2015 18:00,61121,67433
03.01.2015 18:00 - 03.01.2015 18:15,61380,67747
03.01.2015 18:15 - 03.01.2015 18:30,60853,67437
03.01.2015 18:30 - 03.01.2015 18:45,60735,67282
03.01.2015 18:45 - 03.01.2015 19:00,60563,66840
03.01.2015 19:00 - 03.01.2015 19:15,60202,66136
03.01.2015 19:15 - 03.01.2015 19:30,59770,66280
03.01.2015 19:30 - 03.01.2015 19:45,59320,65728
03.01.2015 19:45 - 03.01.2015 20:00,58572,65216
03.01.2015 20:00 - 03.01.2015 20:15,57711,63311
03.01.2015 20:15 - 03.01.2015 20:30,56684,62085
03.01.2015 20:30 - 03.01.2015 20:45,55670,61075
03.01.2015 20:45 - 03.01.2015 21:00,55177,60285
03.01.2015 21:00 - 03.01.2015 21:15,54798,59382
03.01.2015 21:15 - 03.01.2015 21:30,54441,58908
03.01.2015 21:30 - 03.01.2015 21:45,54068,58611
03.01.2015 21:45 - 03.01.2015 22:00,53819,58690
03.01.2015 22:00 - 03.01.2015 22:15,54278,59510
03.01.2015 22:15 - 03.01.2015 22:30,54532,59275
03.01.2015 22:30 - 03.01.2015 22:45,54107,58678
03.01.2015 22:45 - 03.01.2015 23:00,53261,57987
03.01.2015 23:00 - 03.01.2015 23:15,52754,56973
03.01.2015 23:15 - 03.01.2015 23:30,51285,56321
03.01.2015 23:30 - 03.01.2015 23:45,50532,55629
03.01.2015 23:45 - 04.01.2015 00:00,50361,54670
04.01.2015 00:00 - 04.01.2015 00:15,49483,53622
04.01.2015 00:15 - 04.01.2015 00:30,47893,53000
04.01.2015 00:30 - 04.01.2015 00:45,46832,52532
04.01.2015 00:45 - 04.01.2015 01:00,46509,51683
04.01.2015 01:00 - 04.01.2015 01:15,45920,48834
04.01.2015 01:15 - 04.01.2015 01:30,45588,48364
04.01.2015 01:30 - 04.01.2015 01:45,45219,47927
04.01.2015 01:45 - 04.01.2015 02:00,44538,47625
04.01.2015 02:00 - 04.01.2015 02:15,44425,47040
04.01.2015 02:15 - 04.01.2015 02:30,44167,46769
04.01.2015 02:30 - 04.01.2015 02:45,44091,46460
04.01.2015 02:45 - 04.01.2015 03:00,43912,46229
04.01.2015 03:00 - 04.01.2015 03:15,44218,45758
04.01.2015 03:15 - 04.01.2015 03:30,44432,45662
04.01.2015 03:30 - 04.01.2015 03:45,44269,45795
04.01.2015 03:45 - 04.01.2015 04:00,43985,45813
04.01.2015 04:00 - 04.01.2015 04:15,44123,45783
04.01.2015 04:15 - 04.01.2015 04:30,44112,45671
04.01.2015 04:30 - 04.01.2015 04:45,44330,45926
04.01.2015 04:45 - 04.01.2015 05:00,44263,45991
04.01.2015 05:00 - 04.01.2015 05:15,44232,45908
04.01.2015 05:15 - 04.01.2015 05:30,44033,45564
04.01.2015 05:30 - 04.01.2015 05:45,43739,45379
04.01.2015 05:45 - 04.01.2015 06:00,43184,44957
04.01.2015 06:00 - 04.01.2015 06:15,42420,44257
04.01.2015 06:15 - 04.01.2015 06:30,42119,44452
04.01.2015 06:30 - 04.01.2015 06:45,42025,45703
04.01.2015 06:45 - 04.01.2015 07:00,41992,45724
04.01.2015 07:00 - 04.01.2015 07:15,42443,46780
04.01.2015 07:15 - 04.01.2015 07:30,42951,47261
04.01.2015 07:30 - 04.01.2015 07:45,43644,48601
