"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2019 08:30 - 01.01.2019 08:45","46377","40155"
"01.01.2019 08:45 - 01.01.2019 09:00","46924","40541"
"01.01.2019 09:00 - 01.01.2019 09:15","48168","41484"
"01.01.2019 09:15 - 01.01.2019 09:30","49107","42160"
"01.01.2019 09:30 - 01.01.2019 09:45","49597","42955"
"01.01.2019 09:45 - 01.01.2019 10:00","49917","43602"
"01.01.2019 10:00 - 01.01.2019 10:15","50480","44369"
"01.01.2019 10:15 - 01.01.2019 10:30","51111","44987"
"01.01.2019 10:30 - 01.01.2019 10:45","51325","45701"
"01.01.2019 10:45 - 01.01.2019 11:00","52160","46213"
"01.01.2019 11:00 - 01.01.2019 11:15","52556","47265"
"01.01.2019 11:15 - 01.01.2019 11:30","53232","48065"
"01.01.2019 11:30 - 01.01.2019 11:45","53971","48763"
"01.01.2019 11:45 - 01.01.2019 12:00","54468","48946"
"01.01.2019 12:00 - 01.01.2019 12:15","53722","49423"
"01.01.2019 12:15 - 01.01.2019 12:30","53879","49686"
"01.01.2019 12:30 - 01.01.2019 12:45","53186","49616"
"01.01.2019 12:45 - 01.01.2019 13:00","52637","49690"
"01.01.2019 13:00 - 01.01.2019 13:15","52005","49481"
"01.01.2019 13:15 - 01.01.2019 13:30","51350","49236"
"01.01.2019 13:30 - 01.01.2019 13:45","51102","49226"
"01.01.2019 13:45 - 01.01.2019 14:00","50267","49138"
"01.01.2019 14:00 - 01.01.2019 14:15","50169","49171"
"01.01.2019 14:15 - 01.01.2019 14:30","49315","48981"
"01.01.2019 14:30 - 01.01.2019 14:45","49546","48963"
"01.01.2019 14:45 - 01.01.2019 15:00","49857","48901"
"01.01.2019 15:00 - 01.01.2019 15:15","49979","49347"
"01.01.2019 15:15 - 01.01.2019 15:30","49402","49428"
"01.01.2019 15:30 - 01.01.2019 15:45","49639","49513"
"01.01.2019 15:45 - 01.01.2019 16:00","49565","49526"
"01.01.2019 16:00 - 01.01.2019 16:15","50177","49998"
"01.01.2019 16:15 - 01.01.2019 16:30","51116","50551"
"01.01.2019 16:30 - 01.01.2019 16:45","51820","51648"
"01.01.2019 16:45 - 01.01.2019 17:00","52092","52615"
"01.01.2019 17:00 - 01.01.2019 17:15","53425","53753"
"01.01.2019 17:15 - 01.01.2019 17:30","54094","54187"
"01.01.2019 17:30 - 01.01.2019 17:45","54899","54652"
"01.01.2019 17:45 - 01.01.2019 18:00","54917","55017"
"01.01.2019 18:00 - 01.01.2019 18:15","55180","55200"
"01.01.2019 18:15 - 01.01.2019 18:30","55421","55226"
"01.01.2019 18:30 - 01.01.2019 18:45","55270","55178"
"01.01.2019 18:45 - 01.01.2019 19:00","55150","55119"
"01.01.2019 19:00 - 01.01.2019 19:15","54761","54947"
"01.01.2019 19:15 - 01.01.2019 19:30","54169","54454"
"01.01.2019 19:30 - 01.01.2019 19:45","53599","53988"
"01.01.2019 19:45 - 01.01.2019 20:00","53078","53326"
"01.01.2019 20:00 - 01.01.2019 20:15","52563","52740"
"01.01.2019 20:15 - 01.01.2019 20:30","51467","52231"
"01.01.2019 20:30 - 01.01.2019 20:45","50777","51539"
"01.01.2019 20:45 - 01.01.2019 21:00","50495","50901"
"01.01.2019 21:00 - 01.01.2019 21:15","49720","50625"
"01.01.2019 21:15 - 01.01.2019 21:30","49578","50267"
"01.01.2019 21:30 - 01.01.2019 21:45","50254","50066"
"01.01.2019 21:45 - 01.01.2019 22:00","49402","49882"
"01.01.2019 22:00 - 01.01.2019 22:15","49839","50155"
"01.01.2019 22:15 - 01.01.2019 22:30","49532","49513"
"01.01.2019 22:30 - 01.01.2019 22:45","48644","48971"
"01.01.2019 22:45 - 01.01.2019 23:00","47874","48271"
"01.01.2019 23:00 - 01.01.2019 23:15","46833","47567"
"01.01.2019 23:15 - 01.01.2019 23:30","46147","46845"
"01.01.2019 23:30 - 01.01.2019 23:45","45324","45844"
"01.01.2019 23:45 - 02.01.2019 00:00","44839","45284"
"02.01.2019 00:00 - 02.01.2019 00:15","43308","44996"
"02.01.2019 00:15 - 02.01.2019 00:30","43063","44382"
"02.01.2019 00:30 - 02.01.2019 00:45","42757","43779"
"02.01.2019 00:45 - 02.01.2019 01:00","42414","43489"
"02.01.2019 01:00 - 02.01.2019 01:15","41984","43199"
"02.01.2019 01:15 - 02.01.2019 01:30","41698","42589"
"02.01.2019 01:30 - 02.01.2019 01:45","41408","42456"
"02.01.2019 01:45 - 02.01.2019 02:00","41288","42304"
"02.01.2019 02:00 - 02.01.2019 02:15","40841","42419"
"02.01.2019 02:15 - 02.01.2019 02:30","40776","42221"
"02.01.2019 02:30 - 02.01.2019 02:45","40795","42134"
"02.01.2019 02:45 - 02.01.2019 03:00","40891","42124"
"02.01.2019 03:00 - 02.01.2019 03:15","40988","42232"
"02.01.2019 03:15 - 02.01.2019 03:30","41073","42564"
"02.01.2019 03:30 - 02.01.2019 03:45","41255","42966"
"02.01.2019 03:45 - 02.01.2019 04:00","41359","43227"
"02.01.2019 04:00 - 02.01.2019 04:15","42032","43434"
"02.01.2019 04:15 - 02.01.2019 04:30","42465","43794"
"02.01.2019 04:30 - 02.01.2019 04:45","42917","44456"
"02.01.2019 04:45 - 02.01.2019 05:00","43256","45037"
"02.01.2019 05:00 - 02.01.2019 05:15","44620","45806"
"02.01.2019 05:15 - 02.01.2019 05:30","45212","46469"
"02.01.2019 05:30 - 02.01.2019 05:45","46511","47807"
"02.01.2019 05:45 - 02.01.2019 06:00","48021","49303"
"02.01.2019 06:00 - 02.01.2019 06:15","50566","50970"
"02.01.2019 06:15 - 02.01.2019 06:30","52818","52616"
"02.01.2019 06:30 - 02.01.2019 06:45","54549","53914"
"02.01.2019 06:45 - 02.01.2019 07:00","56080","55373"
"02.01.2019 07:00 - 02.01.2019 07:15","57606","57091"
"02.01.2019 07:15 - 02.01.2019 07:30","58353","58233"
"02.01.2019 07:30 - 02.01.2019 07:45","59475","59254"
"02.01.2019 07:45 - 02.01.2019 08:00","60158","60240"
"02.01.2019 08:00 - 02.01.2019 08:15","60742","61489"
"02.01.2019 08:15 - 02.01.2019 08:30","61261","61745"
"02.01.2019 08:30 - 02.01.2019 08:45","61239","62429"
"02.01.2019 08:45 - 02.01.2019 09:00","61218","62860"
"02.01.2019 09:00 - 02.01.2019 09:15","60848","63550"
"02.01.2019 09:15 - 02.01.2019 09:30","61481","63722"
"02.01.2019 09:30 - 02.01.2019 09:45","61506","64302"
"02.01.2019 09:45 - 02.01.2019 10:00","62053","64672"
"02.01.2019 10:00 - 02.01.2019 10:15","62354","64898"
"02.01.2019 10:15 - 02.01.2019 10:30","62782","64935"
"02.01.2019 10:30 - 02.01.2019 10:45","62899","65207"
"02.01.2019 10:45 - 02.01.2019 11:00","63014","65417"
"02.01.2019 11:00 - 02.01.2019 11:15","63474","65770"
"02.01.2019 11:15 - 02.01.2019 11:30","63733","66268"
"02.01.2019 11:30 - 02.01.2019 11:45","64109","66852"
"02.01.2019 11:45 - 02.01.2019 12:00","63961","66827"
"02.01.2019 12:00 - 02.01.2019 12:15","63662","66921"
"02.01.2019 12:15 - 02.01.2019 12:30","63818","66732"
"02.01.2019 12:30 - 02.01.2019 12:45","63610","66632"
"02.01.2019 12:45 - 02.01.2019 13:00","63590","66466"
"02.01.2019 13:00 - 02.01.2019 13:15","63493","66484"
"02.01.2019 13:15 - 02.01.2019 13:30","63394","66132"
"02.01.2019 13:30 - 02.01.2019 13:45","63144","65931"
"02.01.2019 13:45 - 02.01.2019 14:00","62174","65227"
"02.01.2019 14:00 - 02.01.2019 14:15","61863","65153"
"02.01.2019 14:15 - 02.01.2019 14:30","61332","64881"
"02.01.2019 14:30 - 02.01.2019 14:45","61426","64721"
"02.01.2019 14:45 - 02.01.2019 15:00","61871","64316"
"02.01.2019 15:00 - 02.01.2019 15:15","62190","64929"
"02.01.2019 15:15 - 02.01.2019 15:30","61207","64715"
"02.01.2019 15:30 - 02.01.2019 15:45","61158","64530"
"02.01.2019 15:45 - 02.01.2019 16:00","60871","64421"
"02.01.2019 16:00 - 02.01.2019 16:15","61416","64986"
"02.01.2019 16:15 - 02.01.2019 16:30","62058","65096"
"02.01.2019 16:30 - 02.01.2019 16:45","62868","66101"
"02.01.2019 16:45 - 02.01.2019 17:00","62883","67289"
"02.01.2019 17:00 - 02.01.2019 17:15","63418","68536"
"02.01.2019 17:15 - 02.01.2019 17:30","63876","69225"
"02.01.2019 17:30 - 02.01.2019 17:45","64228","69376"
"02.01.2019 17:45 - 02.01.2019 18:00","64219","69583"
"02.01.2019 18:00 - 02.01.2019 18:15","63950","69229"
"02.01.2019 18:15 - 02.01.2019 18:30","64055","68929"
"02.01.2019 18:30 - 02.01.2019 18:45","64231","68861"
"02.01.2019 18:45 - 02.01.2019 19:00","63979","68691"
"02.01.2019 19:00 - 02.01.2019 19:15","63656","68382"
"02.01.2019 19:15 - 02.01.2019 19:30","63001","67459"
"02.01.2019 19:30 - 02.01.2019 19:45","62779","66690"
"02.01.2019 19:45 - 02.01.2019 20:00","62105","66030"
"02.01.2019 20:00 - 02.01.2019 20:15","60524","64870"
"02.01.2019 20:15 - 02.01.2019 20:30","58901","63855"
"02.01.2019 20:30 - 02.01.2019 20:45","58461","62721"
"02.01.2019 20:45 - 02.01.2019 21:00","57856","61942"
"02.01.2019 21:00 - 02.01.2019 21:15","57037","60989"
"02.01.2019 21:15 - 02.01.2019 21:30","56239","60387"
"02.01.2019 21:30 - 02.01.2019 21:45","56320","59793"
"02.01.2019 21:45 - 02.01.2019 22:00","54899","59362"
"02.01.2019 22:00 - 02.01.2019 22:15","54810","59536"
"02.01.2019 22:15 - 02.01.2019 22:30","54001","58772"
"02.01.2019 22:30 - 02.01.2019 22:45","52962","57770"
"02.01.2019 22:45 - 02.01.2019 23:00","51892","56817"
"02.01.2019 23:00 - 02.01.2019 23:15","50645","56118"
"02.01.2019 23:15 - 02.01.2019 23:30","49458","55000"
"02.01.2019 23:30 - 02.01.2019 23:45","48584","53910"
"02.01.2019 23:45 - 03.01.2019 00:00","47596","53032"
"03.01.2019 00:00 - 03.01.2019 00:15","48638","52122"
"03.01.2019 00:15 - 03.01.2019 00:30","48655","51919"
"03.01.2019 00:30 - 03.01.2019 00:45","48296","51455"
"03.01.2019 00:45 - 03.01.2019 01:00","47711","50637"
"03.01.2019 01:00 - 03.01.2019 01:15","47123","50762"
"03.01.2019 01:15 - 03.01.2019 01:30","46582","50570"
"03.01.2019 01:30 - 03.01.2019 01:45","46879","50550"
"03.01.2019 01:45 - 03.01.2019 02:00","46348","50290"
"03.01.2019 02:00 - 03.01.2019 02:15","46055","50233"
"03.01.2019 02:15 - 03.01.2019 02:30","45762","50157"
"03.01.2019 02:30 - 03.01.2019 02:45","46257","50306"
"03.01.2019 02:45 - 03.01.2019 03:00","46239","50249"
"03.01.2019 03:00 - 03.01.2019 03:15","46097","50205"
"03.01.2019 03:15 - 03.01.2019 03:30","46235","49970"
"03.01.2019 03:30 - 03.01.2019 03:45","46356","50047"
"03.01.2019 03:45 - 03.01.2019 04:00","46438","50255"
"03.01.2019 04:00 - 03.01.2019 04:15","47110","50386"
"03.01.2019 04:15 - 03.01.2019 04:30","46920","50634"
"03.01.2019 04:30 - 03.01.2019 04:45","47687","51050"
"03.01.2019 04:45 - 03.01.2019 05:00","48027","51541"
"03.01.2019 05:00 - 03.01.2019 05:15","49036","52579"
"03.01.2019 05:15 - 03.01.2019 05:30","49142","52891"
"03.01.2019 05:30 - 03.01.2019 05:45","50039","53762"
"03.01.2019 05:45 - 03.01.2019 06:00","50823","54894"
"03.01.2019 06:00 - 03.01.2019 06:15","51893","56421"
"03.01.2019 06:15 - 03.01.2019 06:30","53397","57746"
"03.01.2019 06:30 - 03.01.2019 06:45","54780","59116"
"03.01.2019 06:45 - 03.01.2019 07:00","56095","60310"
"03.01.2019 07:00 - 03.01.2019 07:15","57706","61455"
"03.01.2019 07:15 - 03.01.2019 07:30","59578","62322"
"03.01.2019 07:30 - 03.01.2019 07:45","60313","63331"
"03.01.2019 07:45 - 03.01.2019 08:00","61292","64245"
"03.01.2019 08:00 - 03.01.2019 08:15","62545","64799"
"03.01.2019 08:15 - 03.01.2019 08:30","62361","65249"
"03.01.2019 08:30 - 03.01.2019 08:45","62645","65663"
"03.01.2019 08:45 - 03.01.2019 09:00","62841","66130"
"03.01.2019 09:00 - 03.01.2019 09:15","62830","66569"
"03.01.2019 09:15 - 03.01.2019 09:30","64107","66718"
"03.01.2019 09:30 - 03.01.2019 09:45","63425","66873"
"03.01.2019 09:45 - 03.01.2019 10:00","63930","67130"
"03.01.2019 10:00 - 03.01.2019 10:15","63833","67301"
"03.01.2019 10:15 - 03.01.2019 10:30","64074","67330"
"03.01.2019 10:30 - 03.01.2019 10:45","63996","67596"
"03.01.2019 10:45 - 03.01.2019 11:00","63872","67770"
"03.01.2019 11:00 - 03.01.2019 11:15","64511","68201"
"03.01.2019 11:15 - 03.01.2019 11:30","64628","68533"
"03.01.2019 11:30 - 03.01.2019 11:45","64914","68712"
"03.01.2019 11:45 - 03.01.2019 12:00","65022","68608"
"03.01.2019 12:00 - 03.01.2019 12:15","64130","68898"
"03.01.2019 12:15 - 03.01.2019 12:30","64329","68688"
"03.01.2019 12:30 - 03.01.2019 12:45","64143","68699"
"03.01.2019 12:45 - 03.01.2019 13:00","63686","68535"
"03.01.2019 13:00 - 03.01.2019 13:15","63599","68235"
"03.01.2019 13:15 - 03.01.2019 13:30","63102","67717"
"03.01.2019 13:30 - 03.01.2019 13:45","62594","67326"
"03.01.2019 13:45 - 03.01.2019 14:00","62274","66911"
"03.01.2019 14:00 - 03.01.2019 14:15","62102","66850"
"03.01.2019 14:15 - 03.01.2019 14:30","61450","66552"
"03.01.2019 14:30 - 03.01.2019 14:45","61644","66404"
"03.01.2019 14:45 - 03.01.2019 15:00","62143","66124"
"03.01.2019 15:00 - 03.01.2019 15:15","62800","66272"
"03.01.2019 15:15 - 03.01.2019 15:30","61949","65847"
"03.01.2019 15:30 - 03.01.2019 15:45","62083","65663"
"03.01.2019 15:45 - 03.01.2019 16:00","62157","65871"
"03.01.2019 16:00 - 03.01.2019 16:15","62572","66170"
"03.01.2019 16:15 - 03.01.2019 16:30","63472","66678"
"03.01.2019 16:30 - 03.01.2019 16:45","64402","67469"
"03.01.2019 16:45 - 03.01.2019 17:00","64601","68644"
"03.01.2019 17:00 - 03.01.2019 17:15","65300","69786"
"03.01.2019 17:15 - 03.01.2019 17:30","65828","70338"
"03.01.2019 17:30 - 03.01.2019 17:45","65719","70617"
"03.01.2019 17:45 - 03.01.2019 18:00","66344","70700"
"03.01.2019 18:00 - 03.01.2019 18:15","65941","70446"
"03.01.2019 18:15 - 03.01.2019 18:30","65978","70162"
"03.01.2019 18:30 - 03.01.2019 18:45","66017","69869"
"03.01.2019 18:45 - 03.01.2019 19:00","64795","69691"
"03.01.2019 19:00 - 03.01.2019 19:15","64495","69206"
"03.01.2019 19:15 - 03.01.2019 19:30","64076","68361"
"03.01.2019 19:30 - 03.01.2019 19:45","63876","67613"
"03.01.2019 19:45 - 03.01.2019 20:00","62679","66976"
"03.01.2019 20:00 - 03.01.2019 20:15","61791","65898"
"03.01.2019 20:15 - 03.01.2019 20:30","59869","64625"
"03.01.2019 20:30 - 03.01.2019 20:45","59834","63792"
"03.01.2019 20:45 - 03.01.2019 21:00","59180","62924"
"03.01.2019 21:00 - 03.01.2019 21:15","57903","62235"
"03.01.2019 21:15 - 03.01.2019 21:30","57403","61740"
"03.01.2019 21:30 - 03.01.2019 21:45","57767","60740"
"03.01.2019 21:45 - 03.01.2019 22:00","56423","60382"
"03.01.2019 22:00 - 03.01.2019 22:15","56466","60272"
"03.01.2019 22:15 - 03.01.2019 22:30","54245","59524"
"03.01.2019 22:30 - 03.01.2019 22:45","54450","58420"
"03.01.2019 22:45 - 03.01.2019 23:00","53010","57864"
"03.01.2019 23:00 - 03.01.2019 23:15","53050","57021"
"03.01.2019 23:15 - 03.01.2019 23:30","51736","55953"
"03.01.2019 23:30 - 03.01.2019 23:45","50007","55128"
"03.01.2019 23:45 - 04.01.2019 00:00","49384","54557"
"04.01.2019 00:00 - 04.01.2019 00:15","47030","53397"
"04.01.2019 00:15 - 04.01.2019 00:30","46894","52735"
"04.01.2019 00:30 - 04.01.2019 00:45","46267","52175"
"04.01.2019 00:45 - 04.01.2019 01:00","45679","51601"
"04.01.2019 01:00 - 04.01.2019 01:15","45087","50755"
"04.01.2019 01:15 - 04.01.2019 01:30","44712","50464"
"04.01.2019 01:30 - 04.01.2019 01:45","44383","50611"
"04.01.2019 01:45 - 04.01.2019 02:00","44178","50439"
"04.01.2019 02:00 - 04.01.2019 02:15","43902","50004"
"04.01.2019 02:15 - 04.01.2019 02:30","43692","49809"
"04.01.2019 02:30 - 04.01.2019 02:45","43860","50034"
"04.01.2019 02:45 - 04.01.2019 03:00","43880","50148"
"04.01.2019 03:00 - 04.01.2019 03:15","43893","50190"
"04.01.2019 03:15 - 04.01.2019 03:30","43935","50239"
"04.01.2019 03:30 - 04.01.2019 03:45","44098","50362"
"04.01.2019 03:45 - 04.01.2019 04:00","44165","50790"
"04.01.2019 04:00 - 04.01.2019 04:15","44579","51212"
"04.01.2019 04:15 - 04.01.2019 04:30","44830","51236"
"04.01.2019 04:30 - 04.01.2019 04:45","45149","51463"
"04.01.2019 04:45 - 04.01.2019 05:00","45573","52102"
"04.01.2019 05:00 - 04.01.2019 05:15","46548","53147"
"04.01.2019 05:15 - 04.01.2019 05:30","46690","53355"
"04.01.2019 05:30 - 04.01.2019 05:45","47514","54256"
"04.01.2019 05:45 - 04.01.2019 06:00","48571","55246"
"04.01.2019 06:00 - 04.01.2019 06:15","49919","56956"
"04.01.2019 06:15 - 04.01.2019 06:30","51586","58363"
"04.01.2019 06:30 - 04.01.2019 06:45","52941","59445"
"04.01.2019 06:45 - 04.01.2019 07:00","54041","60924"
"04.01.2019 07:00 - 04.01.2019 07:15","55428","62832"
"04.01.2019 07:15 - 04.01.2019 07:30","56153","63980"
"04.01.2019 07:30 - 04.01.2019 07:45","57983","64956"
"04.01.2019 07:45 - 04.01.2019 08:00","58777","65791"
"04.01.2019 08:00 - 04.01.2019 08:15","59623","66943"
"04.01.2019 08:15 - 04.01.2019 08:30","60149","67500"
"04.01.2019 08:30 - 04.01.2019 08:45","60425","67742"
"04.01.2019 08:45 - 04.01.2019 09:00","60703","68167"
"04.01.2019 09:00 - 04.01.2019 09:15","60700","68538"
"04.01.2019 09:15 - 04.01.2019 09:30","61333","69127"
"04.01.2019 09:30 - 04.01.2019 09:45","61250","69560"
"04.01.2019 09:45 - 04.01.2019 10:00","61584","69481"
"04.01.2019 10:00 - 04.01.2019 10:15","61976","69621"
"04.01.2019 10:15 - 04.01.2019 10:30","62239","69797"
"04.01.2019 10:30 - 04.01.2019 10:45","61902","70107"
"04.01.2019 10:45 - 04.01.2019 11:00","62068","70373"
"04.01.2019 11:00 - 04.01.2019 11:15","62242","70115"
"04.01.2019 11:15 - 04.01.2019 11:30","62408","70454"
"04.01.2019 11:30 - 04.01.2019 11:45","62773","70727"
"04.01.2019 11:45 - 04.01.2019 12:00","63003","70943"
"04.01.2019 12:00 - 04.01.2019 12:15","62337","71205"
"04.01.2019 12:15 - 04.01.2019 12:30","62556","70980"
"04.01.2019 12:30 - 04.01.2019 12:45","62129","71031"
"04.01.2019 12:45 - 04.01.2019 13:00","61907","70708"
"04.01.2019 13:00 - 04.01.2019 13:15","61474","70531"
"04.01.2019 13:15 - 04.01.2019 13:30","61036","69954"
"04.01.2019 13:30 - 04.01.2019 13:45","60540","69624"
"04.01.2019 13:45 - 04.01.2019 14:00","59850","68927"
"04.01.2019 14:00 - 04.01.2019 14:15","59790","68609"
"04.01.2019 14:15 - 04.01.2019 14:30","59194","68128"
"04.01.2019 14:30 - 04.01.2019 14:45","59245","67716"
"04.01.2019 14:45 - 04.01.2019 15:00","59513","67439"
"04.01.2019 15:00 - 04.01.2019 15:15","59761","67482"
"04.01.2019 15:15 - 04.01.2019 15:30","59164","67228"
"04.01.2019 15:30 - 04.01.2019 15:45","59248","67122"
"04.01.2019 15:45 - 04.01.2019 16:00","59341","67085"
"04.01.2019 16:00 - 04.01.2019 16:15","59946","67889"
"04.01.2019 16:15 - 04.01.2019 16:30","60523","68191"
"04.01.2019 16:30 - 04.01.2019 16:45","61033","68789"
"04.01.2019 16:45 - 04.01.2019 17:00","61748","69448"
"04.01.2019 17:00 - 04.01.2019 17:15","62783","70343"
"04.01.2019 17:15 - 04.01.2019 17:30","63330","70711"
"04.01.2019 17:30 - 04.01.2019 17:45","63464","70906"
"04.01.2019 17:45 - 04.01.2019 18:00","63542","70886"
"04.01.2019 18:00 - 04.01.2019 18:15","63129","70534"
"04.01.2019 18:15 - 04.01.2019 18:30","63139","70179"
"04.01.2019 18:30 - 04.01.2019 18:45","62976","69873"
"04.01.2019 18:45 - 04.01.2019 19:00","62574","69470"
"04.01.2019 19:00 - 04.01.2019 19:15","62027","69091"
"04.01.2019 19:15 - 04.01.2019 19:30","61202","68119"
"04.01.2019 19:30 - 04.01.2019 19:45","60574","67759"
"04.01.2019 19:45 - 04.01.2019 20:00","59920","66944"
"04.01.2019 20:00 - 04.01.2019 20:15","58834","65315"
"04.01.2019 20:15 - 04.01.2019 20:30","57467","64295"
"04.01.2019 20:30 - 04.01.2019 20:45","56867","63774"
"04.01.2019 20:45 - 04.01.2019 21:00","56236","62578"
"04.01.2019 21:00 - 04.01.2019 21:15","55269","61707"
"04.01.2019 21:15 - 04.01.2019 21:30","54738","61165"
"04.01.2019 21:30 - 04.01.2019 21:45","54794","60861"
"04.01.2019 21:45 - 04.01.2019 22:00","53835","60061"
"04.01.2019 22:00 - 04.01.2019 22:15","54018","60051"
"04.01.2019 22:15 - 04.01.2019 22:30","53022","59658"
"04.01.2019 22:30 - 04.01.2019 22:45","52385","58740"
"04.01.2019 22:45 - 04.01.2019 23:00","51293","57856"
"04.01.2019 23:00 - 04.01.2019 23:15","50228","56378"
"04.01.2019 23:15 - 04.01.2019 23:30","49131","55516"
"04.01.2019 23:30 - 04.01.2019 23:45","48144","54535"
"04.01.2019 23:45 - 05.01.2019 00:00","47255","53626"
"05.01.2019 00:00 - 05.01.2019 00:15","47835","52956"
"05.01.2019 00:15 - 05.01.2019 00:30","48245","52438"
"05.01.2019 00:30 - 05.01.2019 00:45","47689","52057"
"05.01.2019 00:45 - 05.01.2019 01:00","47146","51215"
"05.01.2019 01:00 - 05.01.2019 01:15","46585","50647"
"05.01.2019 01:15 - 05.01.2019 01:30","45818","49803"
"05.01.2019 01:30 - 05.01.2019 01:45","45927","49585"
"05.01.2019 01:45 - 05.01.2019 02:00","45659","49071"
"05.01.2019 02:00 - 05.01.2019 02:15","45222","48804"
"05.01.2019 02:15 - 05.01.2019 02:30","44854","48296"
"05.01.2019 02:30 - 05.01.2019 02:45","45249","48448"
"05.01.2019 02:45 - 05.01.2019 03:00","45274","48199"
"05.01.2019 03:00 - 05.01.2019 03:15","44905","48111"
"05.01.2019 03:15 - 05.01.2019 03:30","44969","47855"
"05.01.2019 03:30 - 05.01.2019 03:45","45088","47905"
"05.01.2019 03:45 - 05.01.2019 04:00","45152","47953"
"05.01.2019 04:00 - 05.01.2019 04:15","45341","48112"
"05.01.2019 04:15 - 05.01.2019 04:30","45312","48000"
"05.01.2019 04:30 - 05.01.2019 04:45","45624","48021"
"05.01.2019 04:45 - 05.01.2019 05:00","45453","48010"
"05.01.2019 05:00 - 05.01.2019 05:15","45619","48153"
"05.01.2019 05:15 - 05.01.2019 05:30","44892","48133"
"05.01.2019 05:30 - 05.01.2019 05:45","45110","48106"
"05.01.2019 05:45 - 05.01.2019 06:00","44968","48097"
"05.01.2019 06:00 - 05.01.2019 06:15","44542","48187"
"05.01.2019 06:15 - 05.01.2019 06:30","45178","48509"
"05.01.2019 06:30 - 05.01.2019 06:45","45666","49036"
"05.01.2019 06:45 - 05.01.2019 07:00","46263","49451"
"05.01.2019 07:00 - 05.01.2019 07:15","46979","50374"
"05.01.2019 07:15 - 05.01.2019 07:30","47812","51041"
"05.01.2019 07:30 - 05.01.2019 07:45","50042","51448"
"05.01.2019 07:45 - 05.01.2019 08:00","51728","52314"
"05.01.2019 08:00 - 05.01.2019 08:15","53106","53795"
"05.01.2019 08:15 - 05.01.2019 08:30","53976","54814"
"05.01.2019 08:30 - 05.01.2019 08:45","55026","55021"
"05.01.2019 08:45 - 05.01.2019 09:00","55565","55834"
"05.01.2019 09:00 - 05.01.2019 09:15","56806","57145"
"05.01.2019 09:15 - 05.01.2019 09:30","58460","57684"
"05.01.2019 09:30 - 05.01.2019 09:45","58243","58663"
"05.01.2019 09:45 - 05.01.2019 10:00","58286","59195"
"05.01.2019 10:00 - 05.01.2019 10:15","58929","59747"
"05.01.2019 10:15 - 05.01.2019 10:30","59799","60145"
"05.01.2019 10:30 - 05.01.2019 10:45","59011","60435"
"05.01.2019 10:45 - 05.01.2019 11:00","59238","60929"
"05.01.2019 11:00 - 05.01.2019 11:15","60016","61337"
"05.01.2019 11:15 - 05.01.2019 11:30","59727","61421"
"05.01.2019 11:30 - 05.01.2019 11:45","60414","61817"
"05.01.2019 11:45 - 05.01.2019 12:00","60543","61597"
"05.01.2019 12:00 - 05.01.2019 12:15","59601","61777"
