"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"02.01.2018 07:45 - 02.01.2018 08:00","71024","69529"
"02.01.2018 08:00 - 02.01.2018 08:15","72110","70858"
"02.01.2018 08:15 - 02.01.2018 08:30","72295","71675"
"02.01.2018 08:30 - 02.01.2018 08:45","72675","72423"
"02.01.2018 08:45 - 02.01.2018 09:00","72696","72862"
"02.01.2018 09:00 - 02.01.2018 09:15","72588","73195"
"02.01.2018 09:15 - 02.01.2018 09:30","72954","73717"
"02.01.2018 09:30 - 02.01.2018 09:45","73181","74389"
"02.01.2018 09:45 - 02.01.2018 10:00","73842","74841"
"02.01.2018 10:00 - 02.01.2018 10:15","74076","75222"
"02.01.2018 10:15 - 02.01.2018 10:30","74523","75597"
"02.01.2018 10:30 - 02.01.2018 10:45","75137","76518"
"02.01.2018 10:45 - 02.01.2018 11:00","75336","76980"
"02.01.2018 11:00 - 02.01.2018 11:15","75553","76892"
"02.01.2018 11:15 - 02.01.2018 11:30","75817","77484"
"02.01.2018 11:30 - 02.01.2018 11:45","76022","78220"
"02.01.2018 11:45 - 02.01.2018 12:00","75956","78497"
"02.01.2018 12:00 - 02.01.2018 12:15","75565","78471"
"02.01.2018 12:15 - 02.01.2018 12:30","75723","78366"
"02.01.2018 12:30 - 02.01.2018 12:45","75414","78422"
"02.01.2018 12:45 - 02.01.2018 13:00","75602","78159"
"02.01.2018 13:00 - 02.01.2018 13:15","75476","77973"
"02.01.2018 13:15 - 02.01.2018 13:30","75296","77758"
"02.01.2018 13:30 - 02.01.2018 13:45","74967","77342"
"02.01.2018 13:45 - 02.01.2018 14:00","74206","76647"
"02.01.2018 14:00 - 02.01.2018 14:15","73958","76373"
"02.01.2018 14:15 - 02.01.2018 14:30","73614","76099"
"02.01.2018 14:30 - 02.01.2018 14:45","73587","75674"
"02.01.2018 14:45 - 02.01.2018 15:00","73927","75457"
"02.01.2018 15:00 - 02.01.2018 15:15","74349","75708"
"02.01.2018 15:15 - 02.01.2018 15:30","73314","75326"
"02.01.2018 15:30 - 02.01.2018 15:45","73227","75178"
"02.01.2018 15:45 - 02.01.2018 16:00","73073","75086"
"02.01.2018 16:00 - 02.01.2018 16:15","73578","75306"
"02.01.2018 16:15 - 02.01.2018 16:30","74439","76147"
"02.01.2018 16:30 - 02.01.2018 16:45","75138","77051"
"02.01.2018 16:45 - 02.01.2018 17:00","74796","78188"
"02.01.2018 17:00 - 02.01.2018 17:15","75550","79296"
"02.01.2018 17:15 - 02.01.2018 17:30","75645","79759"
"02.01.2018 17:30 - 02.01.2018 17:45","76141","79895"
"02.01.2018 17:45 - 02.01.2018 18:00","75883","79960"
"02.01.2018 18:00 - 02.01.2018 18:15","75600","79693"
