"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"23.07.2018 19:15 - 23.07.2018 19:30","66485","69445"
"23.07.2018 19:30 - 23.07.2018 19:45","66149","69013"
"23.07.2018 19:45 - 23.07.2018 20:00","66051","68510"
"23.07.2018 20:00 - 23.07.2018 20:15","65372","67852"
"23.07.2018 20:15 - 23.07.2018 20:30","64275","66899"
"23.07.2018 20:30 - 23.07.2018 20:45","63666","66258"
"23.07.2018 20:45 - 23.07.2018 21:00","62514","65631"
"23.07.2018 21:00 - 23.07.2018 21:15","62557","64978"
"23.07.2018 21:15 - 23.07.2018 21:30","62005","64452"
"23.07.2018 21:30 - 23.07.2018 21:45","62068","64222"
"23.07.2018 21:45 - 23.07.2018 22:00","60487","63858"
"23.07.2018 22:00 - 23.07.2018 22:15","60276","63791"
"23.07.2018 22:15 - 23.07.2018 22:30","59112","62933"
"23.07.2018 22:30 - 23.07.2018 22:45","57829","61629"
"23.07.2018 22:45 - 23.07.2018 23:00","56786","60450"
"23.07.2018 23:00 - 23.07.2018 23:15","55934","58794"
"23.07.2018 23:15 - 23.07.2018 23:30","54990","57751"
"23.07.2018 23:30 - 23.07.2018 23:45","53968","56623"
"23.07.2018 23:45 - 24.07.2018 00:00","53075","55819"
"24.07.2018 00:00 - 24.07.2018 00:15","53198","54824"
"24.07.2018 00:15 - 24.07.2018 00:30","52452","54102"
"24.07.2018 00:30 - 24.07.2018 00:45","51775","53340"
"24.07.2018 00:45 - 24.07.2018 01:00","51158","52677"
"24.07.2018 01:00 - 24.07.2018 01:15","50665","52132"
"24.07.2018 01:15 - 24.07.2018 01:30","50122","51527"
"24.07.2018 01:30 - 24.07.2018 01:45","49894","51121"
"24.07.2018 01:45 - 24.07.2018 02:00","49470","50628"
"24.07.2018 02:00 - 24.07.2018 02:15","49148","50505"
"24.07.2018 02:15 - 24.07.2018 02:30","48956","50057"
"24.07.2018 02:30 - 24.07.2018 02:45","48850","50062"
"24.07.2018 02:45 - 24.07.2018 03:00","48811","49972"
"24.07.2018 03:00 - 24.07.2018 03:15","48829","49908"
"24.07.2018 03:15 - 24.07.2018 03:30","48846","49869"
"24.07.2018 03:30 - 24.07.2018 03:45","48855","49891"
"24.07.2018 03:45 - 24.07.2018 04:00","48840","49992"
"24.07.2018 04:00 - 24.07.2018 04:15","49190","50442"
"24.07.2018 04:15 - 24.07.2018 04:30","49428","50765"
"24.07.2018 04:30 - 24.07.2018 04:45","49886","51220"
"24.07.2018 04:45 - 24.07.2018 05:00","50370","51797"
"24.07.2018 05:00 - 24.07.2018 05:15","51454","52965"
"24.07.2018 05:15 - 24.07.2018 05:30","52285","53574"
"24.07.2018 05:30 - 24.07.2018 05:45","53216","54400"
"24.07.2018 05:45 - 24.07.2018 06:00","54523","55816"
"24.07.2018 06:00 - 24.07.2018 06:15","57551","59241"
"24.07.2018 06:15 - 24.07.2018 06:30","59782","61000"
"24.07.2018 06:30 - 24.07.2018 06:45","61571","62534"
"24.07.2018 06:45 - 24.07.2018 07:00","63033","64151"
"24.07.2018 07:00 - 24.07.2018 07:15","65011","66440"
"24.07.2018 07:15 - 24.07.2018 07:30","66381","67852"
"24.07.2018 07:30 - 24.07.2018 07:45","67521","69072"
"24.07.2018 07:45 - 24.07.2018 08:00","68578","70199"
"24.07.2018 08:00 - 24.07.2018 08:15","69775","71495"
"24.07.2018 08:15 - 24.07.2018 08:30","70348","72333"
"24.07.2018 08:30 - 24.07.2018 08:45","70802","72778"
"24.07.2018 08:45 - 24.07.2018 09:00","71061","73611"
"24.07.2018 09:00 - 24.07.2018 09:15","70970","73632"
"24.07.2018 09:15 - 24.07.2018 09:30","71667","74239"
"24.07.2018 09:30 - 24.07.2018 09:45","72198","74660"
"24.07.2018 09:45 - 24.07.2018 10:00","72750","75071"
"24.07.2018 10:00 - 24.07.2018 10:15","73079","75548"
"24.07.2018 10:15 - 24.07.2018 10:30","73485","75950"
"24.07.2018 10:30 - 24.07.2018 10:45","73912","76220"
"24.07.2018 10:45 - 24.07.2018 11:00","74306","76616"
"24.07.2018 11:00 - 24.07.2018 11:15","74665","77044"
"24.07.2018 11:15 - 24.07.2018 11:30","75245","77644"
"24.07.2018 11:30 - 24.07.2018 11:45","75463","77869"
"24.07.2018 11:45 - 24.07.2018 12:00","74995","77879"
"24.07.2018 12:00 - 24.07.2018 12:15","74733","77233"
"24.07.2018 12:15 - 24.07.2018 12:30","74535","77015"
"24.07.2018 12:30 - 24.07.2018 12:45","74384","76947"
"24.07.2018 12:45 - 24.07.2018 13:00","74404","76932"
"24.07.2018 13:00 - 24.07.2018 13:15","74234","76801"
"24.07.2018 13:15 - 24.07.2018 13:30","74120","76529"
"24.07.2018 13:30 - 24.07.2018 13:45","73702","75996"
"24.07.2018 13:45 - 24.07.2018 14:00","73200","75308"
"24.07.2018 14:00 - 24.07.2018 14:15","72910","75090"
"24.07.2018 14:15 - 24.07.2018 14:30","72609","74921"
"24.07.2018 14:30 - 24.07.2018 14:45","72414","74710"
"24.07.2018 14:45 - 24.07.2018 15:00","72445","74472"
"24.07.2018 15:00 - 24.07.2018 15:15","72484","74231"
"24.07.2018 15:15 - 24.07.2018 15:30","71821","73952"
"24.07.2018 15:30 - 24.07.2018 15:45","71584","73465"
"24.07.2018 15:45 - 24.07.2018 16:00","71129","73218"
"24.07.2018 16:00 - 24.07.2018 16:15","70902","73078"
"24.07.2018 16:15 - 24.07.2018 16:30","70716","72625"
"24.07.2018 16:30 - 24.07.2018 16:45","70161","72433"
"24.07.2018 16:45 - 24.07.2018 17:00","69888","72348"
"24.07.2018 17:00 - 24.07.2018 17:15","69773","72351"
"24.07.2018 17:15 - 24.07.2018 17:30","69752","72076"
"24.07.2018 17:30 - 24.07.2018 17:45","69725","72096"
"24.07.2018 17:45 - 24.07.2018 18:00","69679","71858"
"24.07.2018 18:00 - 24.07.2018 18:15","68956","71498"
"24.07.2018 18:15 - 24.07.2018 18:30","68758","71215"
"24.07.2018 18:30 - 24.07.2018 18:45","68811","71200"
"24.07.2018 18:45 - 24.07.2018 19:00","68718","71236"
"24.07.2018 19:00 - 24.07.2018 19:15","68370","71057"
"24.07.2018 19:15 - 24.07.2018 19:30","67981","70482"
"24.07.2018 19:30 - 24.07.2018 19:45","67547","70033"
"24.07.2018 19:45 - 24.07.2018 20:00","67049","69519"
"24.07.2018 20:00 - 24.07.2018 20:15","66381","68844"
"24.07.2018 20:15 - 24.07.2018 20:30","65585","68221"
"24.07.2018 20:30 - 24.07.2018 20:45","64824","67453"
"24.07.2018 20:45 - 24.07.2018 21:00","64150","66816"
"24.07.2018 21:00 - 24.07.2018 21:15","63235","66369"
"24.07.2018 21:15 - 24.07.2018 21:30","63023","65914"
"24.07.2018 21:30 - 24.07.2018 21:45","62855","65546"
"24.07.2018 21:45 - 24.07.2018 22:00","62075","65202"
"24.07.2018 22:00 - 24.07.2018 22:15","61970","64681"
"24.07.2018 22:15 - 24.07.2018 22:30","60650","63753"
"24.07.2018 22:30 - 24.07.2018 22:45","59580","62499"
"24.07.2018 22:45 - 24.07.2018 23:00","58176","61469"
"24.07.2018 23:00 - 24.07.2018 23:15","57139","59733"
"24.07.2018 23:15 - 24.07.2018 23:30","56041","58631"
"24.07.2018 23:30 - 24.07.2018 23:45","54839","57464"
"24.07.2018 23:45 - 25.07.2018 00:00","54095","56841"
"25.07.2018 00:00 - 25.07.2018 00:15","53160","56158"
"25.07.2018 00:15 - 25.07.2018 00:30","52460","55341"
"25.07.2018 00:30 - 25.07.2018 00:45","51871","54761"
"25.07.2018 00:45 - 25.07.2018 01:00","51247","54074"
"25.07.2018 01:00 - 25.07.2018 01:15","50723","53290"
"25.07.2018 01:15 - 25.07.2018 01:30","50258","52942"
"25.07.2018 01:30 - 25.07.2018 01:45","49860","52531"
"25.07.2018 01:45 - 25.07.2018 02:00","49467","52092"
"25.07.2018 02:00 - 25.07.2018 02:15","49165","51688"
"25.07.2018 02:15 - 25.07.2018 02:30","48913","51340"
"25.07.2018 02:30 - 25.07.2018 02:45","48922","51270"
"25.07.2018 02:45 - 25.07.2018 03:00","48893","51172"
"25.07.2018 03:00 - 25.07.2018 03:15","48900","51087"
"25.07.2018 03:15 - 25.07.2018 03:30","48967","51110"
"25.07.2018 03:30 - 25.07.2018 03:45","48926","51222"
"25.07.2018 03:45 - 25.07.2018 04:00","48955","51412"
"25.07.2018 04:00 - 25.07.2018 04:15","49408","51566"
"25.07.2018 04:15 - 25.07.2018 04:30","49682","51772"
"25.07.2018 04:30 - 25.07.2018 04:45","50130","52267"
"25.07.2018 04:45 - 25.07.2018 05:00","50553","52931"
"25.07.2018 05:00 - 25.07.2018 05:15","51806","54235"
"25.07.2018 05:15 - 25.07.2018 05:30","52465","54494"
"25.07.2018 05:30 - 25.07.2018 05:45","53321","55353"
"25.07.2018 05:45 - 25.07.2018 06:00","54759","56866"
"25.07.2018 06:00 - 25.07.2018 06:15","57857","59889"
"25.07.2018 06:15 - 25.07.2018 06:30","60096","62086"
"25.07.2018 06:30 - 25.07.2018 06:45","61856","63759"
"25.07.2018 06:45 - 25.07.2018 07:00","63492","65236"
"25.07.2018 07:00 - 25.07.2018 07:15","65437","67312"
"25.07.2018 07:15 - 25.07.2018 07:30","66411","68708"
"25.07.2018 07:30 - 25.07.2018 07:45","67722","70157"
"25.07.2018 07:45 - 25.07.2018 08:00","68702","71387"
"25.07.2018 08:00 - 25.07.2018 08:15","69773","72455"
"25.07.2018 08:15 - 25.07.2018 08:30","70456","73208"
"25.07.2018 08:30 - 25.07.2018 08:45","70945","74160"
"25.07.2018 08:45 - 25.07.2018 09:00","71178","74769"
"25.07.2018 09:00 - 25.07.2018 09:15","71093","74561"
"25.07.2018 09:15 - 25.07.2018 09:30","71716","75049"
"25.07.2018 09:30 - 25.07.2018 09:45","72319","75908"
"25.07.2018 09:45 - 25.07.2018 10:00","72667","76406"
"25.07.2018 10:00 - 25.07.2018 10:15","73011","76932"
"25.07.2018 10:15 - 25.07.2018 10:30","73497","77260"
"25.07.2018 10:30 - 25.07.2018 10:45","73920","77704"
"25.07.2018 10:45 - 25.07.2018 11:00","74247","78191"
"25.07.2018 11:00 - 25.07.2018 11:15","74733","78710"
"25.07.2018 11:15 - 25.07.2018 11:30","75280","79103"
"25.07.2018 11:30 - 25.07.2018 11:45","75531","79291"
"25.07.2018 11:45 - 25.07.2018 12:00","75050","79524"
"25.07.2018 12:00 - 25.07.2018 12:15","74843","78518"
"25.07.2018 12:15 - 25.07.2018 12:30","74649","78336"
"25.07.2018 12:30 - 25.07.2018 12:45","74513","78366"
"25.07.2018 12:45 - 25.07.2018 13:00","74598","78272"
"25.07.2018 13:00 - 25.07.2018 13:15","74243","77999"
"25.07.2018 13:15 - 25.07.2018 13:30","74286","77670"
"25.07.2018 13:30 - 25.07.2018 13:45","73689","77086"
"25.07.2018 13:45 - 25.07.2018 14:00","73028","76617"
"25.07.2018 14:00 - 25.07.2018 14:15","72735","76404"
"25.07.2018 14:15 - 25.07.2018 14:30","72452","76201"
"25.07.2018 14:30 - 25.07.2018 14:45","72130","75808"
"25.07.2018 14:45 - 25.07.2018 15:00","72353","75241"
"25.07.2018 15:00 - 25.07.2018 15:15","72478","74902"
"25.07.2018 15:15 - 25.07.2018 15:30","71603","74682"
"25.07.2018 15:30 - 25.07.2018 15:45","71314","74541"
"25.07.2018 15:45 - 25.07.2018 16:00","70855","74236"
"25.07.2018 16:00 - 25.07.2018 16:15","70666","74237"
"25.07.2018 16:15 - 25.07.2018 16:30","70434","73534"
"25.07.2018 16:30 - 25.07.2018 16:45","70209","73232"
"25.07.2018 16:45 - 25.07.2018 17:00","69586","73065"
"25.07.2018 17:00 - 25.07.2018 17:15","69520","73149"
"25.07.2018 17:15 - 25.07.2018 17:30","69440","72849"
"25.07.2018 17:30 - 25.07.2018 17:45","69374","72476"
"25.07.2018 17:45 - 25.07.2018 18:00","69286","72199"
"25.07.2018 18:00 - 25.07.2018 18:15","68677","72182"
"25.07.2018 18:15 - 25.07.2018 18:30","68533","72002"
"25.07.2018 18:30 - 25.07.2018 18:45","68676","71869"
"25.07.2018 18:45 - 25.07.2018 19:00","68580","71853"
"25.07.2018 19:00 - 25.07.2018 19:15","68242","71613"
"25.07.2018 19:15 - 25.07.2018 19:30","67657","70832"
"25.07.2018 19:30 - 25.07.2018 19:45","67355","70367"
"25.07.2018 19:45 - 25.07.2018 20:00","66941","70024"
"25.07.2018 20:00 - 25.07.2018 20:15","66110","69121"
"25.07.2018 20:15 - 25.07.2018 20:30","65390","68377"
"25.07.2018 20:30 - 25.07.2018 20:45","64566","67579"
"25.07.2018 20:45 - 25.07.2018 21:00","63991","66848"
"25.07.2018 21:00 - 25.07.2018 21:15","63179","66433"
"25.07.2018 21:15 - 25.07.2018 21:30","62913","66117"
"25.07.2018 21:30 - 25.07.2018 21:45","62542","65732"
"25.07.2018 21:45 - 25.07.2018 22:00","62019","65519"
"25.07.2018 22:00 - 25.07.2018 22:15","61940","65004"
"25.07.2018 22:15 - 25.07.2018 22:30","60769","64049"
"25.07.2018 22:30 - 25.07.2018 22:45","59539","62662"
"25.07.2018 22:45 - 25.07.2018 23:00","58222","61431"
"25.07.2018 23:00 - 25.07.2018 23:15","56941","60237"
"25.07.2018 23:15 - 25.07.2018 23:30","55770","59015"
"25.07.2018 23:30 - 25.07.2018 23:45","54760","58001"
"25.07.2018 23:45 - 26.07.2018 00:00","53925","57076"
"26.07.2018 00:00 - 26.07.2018 00:15","54233","55827"
"26.07.2018 00:15 - 26.07.2018 00:30","53519","55122"
"26.07.2018 00:30 - 26.07.2018 00:45","52917","54441"
"26.07.2018 00:45 - 26.07.2018 01:00","52283","53934"
"26.07.2018 01:00 - 26.07.2018 01:15","51731","53216"
"26.07.2018 01:15 - 26.07.2018 01:30","51232","52792"
"26.07.2018 01:30 - 26.07.2018 01:45","50902","52476"
"26.07.2018 01:45 - 26.07.2018 02:00","50410","52223"
"26.07.2018 02:00 - 26.07.2018 02:15","50152","51666"
"26.07.2018 02:15 - 26.07.2018 02:30","49930","51351"
"26.07.2018 02:30 - 26.07.2018 02:45","49922","51218"
"26.07.2018 02:45 - 26.07.2018 03:00","49818","51254"
"26.07.2018 03:00 - 26.07.2018 03:15","49875","50993"
"26.07.2018 03:15 - 26.07.2018 03:30","49879","51081"
"26.07.2018 03:30 - 26.07.2018 03:45","49822","51001"
"26.07.2018 03:45 - 26.07.2018 04:00","49802","51018"
"26.07.2018 04:00 - 26.07.2018 04:15","50164","51356"
"26.07.2018 04:15 - 26.07.2018 04:30","50390","51614"
"26.07.2018 04:30 - 26.07.2018 04:45","50844","52176"
"26.07.2018 04:45 - 26.07.2018 05:00","51317","52577"
"26.07.2018 05:00 - 26.07.2018 05:15","52553","53723"
"26.07.2018 05:15 - 26.07.2018 05:30","53198","54356"
"26.07.2018 05:30 - 26.07.2018 05:45","54109","55137"
"26.07.2018 05:45 - 26.07.2018 06:00","55519","56606"
"26.07.2018 06:00 - 26.07.2018 06:15","58510","59756"
"26.07.2018 06:15 - 26.07.2018 06:30","60859","61798"
"26.07.2018 06:30 - 26.07.2018 06:45","62475","63299"
"26.07.2018 06:45 - 26.07.2018 07:00","63920","64820"
"26.07.2018 07:00 - 26.07.2018 07:15","65918","67100"
"26.07.2018 07:15 - 26.07.2018 07:30","67192","68424"
"26.07.2018 07:30 - 26.07.2018 07:45","68179","69722"
"26.07.2018 07:45 - 26.07.2018 08:00","69190","71071"
"26.07.2018 08:00 - 26.07.2018 08:15","70394","72371"
"26.07.2018 08:15 - 26.07.2018 08:30","71038","73133"
"26.07.2018 08:30 - 26.07.2018 08:45","71494","73706"
"26.07.2018 08:45 - 26.07.2018 09:00","71739","74343"
"26.07.2018 09:00 - 26.07.2018 09:15","71710","74298"
"26.07.2018 09:15 - 26.07.2018 09:30","72254","74881"
"26.07.2018 09:30 - 26.07.2018 09:45","72806","75785"
"26.07.2018 09:45 - 26.07.2018 10:00","73205","76226"
"26.07.2018 10:00 - 26.07.2018 10:15","73611","76515"
"26.07.2018 10:15 - 26.07.2018 10:30","73955","76831"
"26.07.2018 10:30 - 26.07.2018 10:45","74362","77326"
"26.07.2018 10:45 - 26.07.2018 11:00","74828","77923"
"26.07.2018 11:00 - 26.07.2018 11:15","75161","78354"
"26.07.2018 11:15 - 26.07.2018 11:30","75708","78775"
"26.07.2018 11:30 - 26.07.2018 11:45","75942","79177"
"26.07.2018 11:45 - 26.07.2018 12:00","75434","79192"
"26.07.2018 12:00 - 26.07.2018 12:15","75200","78333"
"26.07.2018 12:15 - 26.07.2018 12:30","75069","78003"
"26.07.2018 12:30 - 26.07.2018 12:45","74972","77801"
"26.07.2018 12:45 - 26.07.2018 13:00","75050","77830"
"26.07.2018 13:00 - 26.07.2018 13:15","74658","77576"
"26.07.2018 13:15 - 26.07.2018 13:30","74703","77300"
"26.07.2018 13:30 - 26.07.2018 13:45","74224","76890"
"26.07.2018 13:45 - 26.07.2018 14:00","73745","76500"
"26.07.2018 14:00 - 26.07.2018 14:15","73421","76161"
"26.07.2018 14:15 - 26.07.2018 14:30","72981","75961"
"26.07.2018 14:30 - 26.07.2018 14:45","72886","75638"
"26.07.2018 14:45 - 26.07.2018 15:00","72918","75377"
"26.07.2018 15:00 - 26.07.2018 15:15","73195","75560"
"26.07.2018 15:15 - 26.07.2018 15:30","72332","75247"
"26.07.2018 15:30 - 26.07.2018 15:45","71984","74685"
"26.07.2018 15:45 - 26.07.2018 16:00","71544","74312"
"26.07.2018 16:00 - 26.07.2018 16:15","71279","74513"
"26.07.2018 16:15 - 26.07.2018 16:30","71178","73878"
"26.07.2018 16:30 - 26.07.2018 16:45","70986","73501"
"26.07.2018 16:45 - 26.07.2018 17:00","70247","73302"
"26.07.2018 17:00 - 26.07.2018 17:15","70128","73243"
"26.07.2018 17:15 - 26.07.2018 17:30","70005","73144"
"26.07.2018 17:30 - 26.07.2018 17:45","69893","73214"
"26.07.2018 17:45 - 26.07.2018 18:00","69813","73138"
"26.07.2018 18:00 - 26.07.2018 18:15","69042","72829"
"26.07.2018 18:15 - 26.07.2018 18:30","68991","72514"
"26.07.2018 18:30 - 26.07.2018 18:45","69152","72222"
"26.07.2018 18:45 - 26.07.2018 19:00","69064","72161"
"26.07.2018 19:00 - 26.07.2018 19:15","68636","71945"
"26.07.2018 19:15 - 26.07.2018 19:30","68278","71427"
"26.07.2018 19:30 - 26.07.2018 19:45","67988","70953"
"26.07.2018 19:45 - 26.07.2018 20:00","67479","70434"
"26.07.2018 20:00 - 26.07.2018 20:15","66697","69607"
"26.07.2018 20:15 - 26.07.2018 20:30","65881","68915"
"26.07.2018 20:30 - 26.07.2018 20:45","65210","68076"
"26.07.2018 20:45 - 26.07.2018 21:00","64592","67401"
"26.07.2018 21:00 - 26.07.2018 21:15","63759","66815"
"26.07.2018 21:15 - 26.07.2018 21:30","63569","66655"
"26.07.2018 21:30 - 26.07.2018 21:45","63208","66597"
"26.07.2018 21:45 - 26.07.2018 22:00","62715","66430"
"26.07.2018 22:00 - 26.07.2018 22:15","62404","65875"
"26.07.2018 22:15 - 26.07.2018 22:30","61122","65127"
"26.07.2018 22:30 - 26.07.2018 22:45","59980","63790"
"26.07.2018 22:45 - 26.07.2018 23:00","58593","62863"
"26.07.2018 23:00 - 26.07.2018 23:15","57428","61100"
"26.07.2018 23:15 - 26.07.2018 23:30","56299","60115"
"26.07.2018 23:30 - 26.07.2018 23:45","55191","58944"
"26.07.2018 23:45 - 27.07.2018 00:00","54295","57962"
"27.07.2018 00:00 - 27.07.2018 00:15","54996","57005"
"27.07.2018 00:15 - 27.07.2018 00:30","54247","56357"
"27.07.2018 00:30 - 27.07.2018 00:45","53656","55548"
"27.07.2018 00:45 - 27.07.2018 01:00","53022","55074"
"27.07.2018 01:00 - 27.07.2018 01:15","52466","54229"
"27.07.2018 01:15 - 27.07.2018 01:30","51933","53881"
"27.07.2018 01:30 - 27.07.2018 01:45","51591","53341"
"27.07.2018 01:45 - 27.07.2018 02:00","51143","52961"
"27.07.2018 02:00 - 27.07.2018 02:15","50805","52452"
"27.07.2018 02:15 - 27.07.2018 02:30","50536","52008"
"27.07.2018 02:30 - 27.07.2018 02:45","50547","51998"
"27.07.2018 02:45 - 27.07.2018 03:00","50442","51635"
"27.07.2018 03:00 - 27.07.2018 03:15","50460","51695"
"27.07.2018 03:15 - 27.07.2018 03:30","50401","51431"
"27.07.2018 03:30 - 27.07.2018 03:45","50382","51380"
"27.07.2018 03:45 - 27.07.2018 04:00","50348","51425"
"27.07.2018 04:00 - 27.07.2018 04:15","50652","51968"
"27.07.2018 04:15 - 27.07.2018 04:30","50948","52219"
"27.07.2018 04:30 - 27.07.2018 04:45","51406","52460"
"27.07.2018 04:45 - 27.07.2018 05:00","51799","52936"
"27.07.2018 05:00 - 27.07.2018 05:15","53003","54564"
"27.07.2018 05:15 - 27.07.2018 05:30","53646","55179"
"27.07.2018 05:30 - 27.07.2018 05:45","54531","55884"
"27.07.2018 05:45 - 27.07.2018 06:00","55981","56896"
"27.07.2018 06:00 - 27.07.2018 06:15","58632","59987"
"27.07.2018 06:15 - 27.07.2018 06:30","60955","62145"
"27.07.2018 06:30 - 27.07.2018 06:45","62510","63657"
"27.07.2018 06:45 - 27.07.2018 07:00","64014","65183"
"27.07.2018 07:00 - 27.07.2018 07:15","66028","67212"
"27.07.2018 07:15 - 27.07.2018 07:30","67265","68695"
"27.07.2018 07:30 - 27.07.2018 07:45","68708","69969"
"27.07.2018 07:45 - 27.07.2018 08:00","69810","71103"
"27.07.2018 08:00 - 27.07.2018 08:15","71039","72386"
"27.07.2018 08:15 - 27.07.2018 08:30","71604","73271"
"27.07.2018 08:30 - 27.07.2018 08:45","72111","73941"
"27.07.2018 08:45 - 27.07.2018 09:00","72408","74582"
"27.07.2018 09:00 - 27.07.2018 09:15","72416","74578"
"27.07.2018 09:15 - 27.07.2018 09:30","73129","75212"
"27.07.2018 09:30 - 27.07.2018 09:45","73790","76055"
"27.07.2018 09:45 - 27.07.2018 10:00","74140","76598"
"27.07.2018 10:00 - 27.07.2018 10:15","74653","76720"
"27.07.2018 10:15 - 27.07.2018 10:30","74939","76988"
"27.07.2018 10:30 - 27.07.2018 10:45","75308","77547"
"27.07.2018 10:45 - 27.07.2018 11:00","75739","78021"
"27.07.2018 11:00 - 27.07.2018 11:15","76097","78098"
"27.07.2018 11:15 - 27.07.2018 11:30","76454","78546"
"27.07.2018 11:30 - 27.07.2018 11:45","76702","78601"
"27.07.2018 11:45 - 27.07.2018 12:00","76182","78421"
"27.07.2018 12:00 - 27.07.2018 12:15","75792","77911"
"27.07.2018 12:15 - 27.07.2018 12:30","75622","77419"
"27.07.2018 12:30 - 27.07.2018 12:45","75251","77252"
"27.07.2018 12:45 - 27.07.2018 13:00","75315","77101"
"27.07.2018 13:00 - 27.07.2018 13:15","74893","76503"
"27.07.2018 13:15 - 27.07.2018 13:30","74783","76078"
"27.07.2018 13:30 - 27.07.2018 13:45","74139","75560"
"27.07.2018 13:45 - 27.07.2018 14:00","73472","74981"
"27.07.2018 14:00 - 27.07.2018 14:15","72970","74300"
"27.07.2018 14:15 - 27.07.2018 14:30","72583","73961"
"27.07.2018 14:30 - 27.07.2018 14:45","72307","73658"
"27.07.2018 14:45 - 27.07.2018 15:00","72472","73458"
"27.07.2018 15:00 - 27.07.2018 15:15","72709","73338"
"27.07.2018 15:15 - 27.07.2018 15:30","71886","73270"
"27.07.2018 15:30 - 27.07.2018 15:45","71599","73040"
"27.07.2018 15:45 - 27.07.2018 16:00","71268","72978"
"27.07.2018 16:00 - 27.07.2018 16:15","71027","72823"
"27.07.2018 16:15 - 27.07.2018 16:30","71006","72593"
"27.07.2018 16:30 - 27.07.2018 16:45","70596","72182"
"27.07.2018 16:45 - 27.07.2018 17:00","69812","71939"
"27.07.2018 17:00 - 27.07.2018 17:15","69586","72451"
"27.07.2018 17:15 - 27.07.2018 17:30","69343","72215"
"27.07.2018 17:30 - 27.07.2018 17:45","69136","72183"
"27.07.2018 17:45 - 27.07.2018 18:00","69272","71807"
"27.07.2018 18:00 - 27.07.2018 18:15","68546","71563"
"27.07.2018 18:15 - 27.07.2018 18:30","68325","71351"
"27.07.2018 18:30 - 27.07.2018 18:45","68290","71329"
"27.07.2018 18:45 - 27.07.2018 19:00","67924","71053"
"27.07.2018 19:00 - 27.07.2018 19:15","67535","70539"
"27.07.2018 19:15 - 27.07.2018 19:30","66996","69689"
"27.07.2018 19:30 - 27.07.2018 19:45","66475","69059"
"27.07.2018 19:45 - 27.07.2018 20:00","65799","68553"
"27.07.2018 20:00 - 27.07.2018 20:15","65075","67746"
"27.07.2018 20:15 - 27.07.2018 20:30","64335","66860"
"27.07.2018 20:30 - 27.07.2018 20:45","63730","65646"
"27.07.2018 20:45 - 27.07.2018 21:00","63049","64812"
"27.07.2018 21:00 - 27.07.2018 21:15","62130","64204"
"27.07.2018 21:15 - 27.07.2018 21:30","61992","63660"
"27.07.2018 21:30 - 27.07.2018 21:45","61682","63470"
"27.07.2018 21:45 - 27.07.2018 22:00","61220","62949"
"27.07.2018 22:00 - 27.07.2018 22:15","60932","62337"
"27.07.2018 22:15 - 27.07.2018 22:30","59694","61319"
"27.07.2018 22:30 - 27.07.2018 22:45","58836","60410"
"27.07.2018 22:45 - 27.07.2018 23:00","57569","59648"
"27.07.2018 23:00 - 27.07.2018 23:15","56664","58868"
"27.07.2018 23:15 - 27.07.2018 23:30","55489","58430"
"27.07.2018 23:30 - 27.07.2018 23:45","54316","57327"
"27.07.2018 23:45 - 28.07.2018 00:00","53431","56523"
"28.07.2018 00:00 - 28.07.2018 00:15","54698","55584"
"28.07.2018 00:15 - 28.07.2018 00:30","53736","54778"
"28.07.2018 00:30 - 28.07.2018 00:45","53047","54035"
"28.07.2018 00:45 - 28.07.2018 01:00","52337","53330"
"28.07.2018 01:00 - 28.07.2018 01:15","51670","52448"
"28.07.2018 01:15 - 28.07.2018 01:30","50948","51896"
"28.07.2018 01:30 - 28.07.2018 01:45","50655","51428"
"28.07.2018 01:45 - 28.07.2018 02:00","50010","51165"
"28.07.2018 02:00 - 28.07.2018 02:15","49619","50601"
"28.07.2018 02:15 - 28.07.2018 02:30","49230","50317"
"28.07.2018 02:30 - 28.07.2018 02:45","49109","50161"
"28.07.2018 02:45 - 28.07.2018 03:00","48838","49819"
"28.07.2018 03:00 - 28.07.2018 03:15","48640","49543"
"28.07.2018 03:15 - 28.07.2018 03:30","48371","49318"
"28.07.2018 03:30 - 28.07.2018 03:45","48225","49099"
"28.07.2018 03:45 - 28.07.2018 04:00","47971","48951"
"28.07.2018 04:00 - 28.07.2018 04:15","47988","48929"
"28.07.2018 04:15 - 28.07.2018 04:30","47822","48647"
"28.07.2018 04:30 - 28.07.2018 04:45","48007","48479"
"28.07.2018 04:45 - 28.07.2018 05:00","47950","48676"
"28.07.2018 05:00 - 28.07.2018 05:15","48110","49208"
"28.07.2018 05:15 - 28.07.2018 05:30","48037","49069"
"28.07.2018 05:30 - 28.07.2018 05:45","47909","49190"
"28.07.2018 05:45 - 28.07.2018 06:00","48018","49484"
"28.07.2018 06:00 - 28.07.2018 06:15","48266","50490"
"28.07.2018 06:15 - 28.07.2018 06:30","49109","50877"
"28.07.2018 06:30 - 28.07.2018 06:45","49626","51721"
"28.07.2018 06:45 - 28.07.2018 07:00","50314","52383"
"28.07.2018 07:00 - 28.07.2018 07:15","51350","53743"
"28.07.2018 07:15 - 28.07.2018 07:30","52499","54513"
"28.07.2018 07:30 - 28.07.2018 07:45","53876","55546"
"28.07.2018 07:45 - 28.07.2018 08:00","55207","56400"
