"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"02.07.2016 18:15 - 02.07.2016 18:30","57844","59544"
"02.07.2016 18:30 - 02.07.2016 18:45","57790","59413"
"02.07.2016 18:45 - 02.07.2016 19:00","57563","59076"
"02.07.2016 19:00 - 02.07.2016 19:15","57577","58602"
"02.07.2016 19:15 - 02.07.2016 19:30","57387","58374"
"02.07.2016 19:30 - 02.07.2016 19:45","56725","57997"
"02.07.2016 19:45 - 02.07.2016 20:00","56083","57482"
"02.07.2016 20:00 - 02.07.2016 20:15","56017","57038"
"02.07.2016 20:15 - 02.07.2016 20:30","55303","56428"
"02.07.2016 20:30 - 02.07.2016 20:45","54316","55580"
"02.07.2016 20:45 - 02.07.2016 21:00","54257","54994"
"02.07.2016 21:00 - 02.07.2016 21:15","53320","53997"
"02.07.2016 21:15 - 02.07.2016 21:30","53371","53015"
"02.07.2016 21:30 - 02.07.2016 21:45","53650","52557"
"02.07.2016 21:45 - 02.07.2016 22:00","53771","53276"
"02.07.2016 22:00 - 02.07.2016 22:15","53853","53674"
"02.07.2016 22:15 - 02.07.2016 22:30","53695","52742"
"02.07.2016 22:30 - 02.07.2016 22:45","52887","52039"
"02.07.2016 22:45 - 02.07.2016 23:00","51998","51418"
"02.07.2016 23:00 - 02.07.2016 23:15","50387","50988"
"02.07.2016 23:15 - 02.07.2016 23:30","49724","50508"
"02.07.2016 23:30 - 02.07.2016 23:45","48590","49859"
"02.07.2016 23:45 - 03.07.2016 00:00","47851","49066"
"03.07.2016 00:00 - 03.07.2016 00:15","46314","49056"
"03.07.2016 00:15 - 03.07.2016 00:30","45650","48352"
"03.07.2016 00:30 - 03.07.2016 00:45","45023","47309"
"03.07.2016 00:45 - 03.07.2016 01:00","44428","46069"
"03.07.2016 01:00 - 03.07.2016 01:15","43354","45214"
"03.07.2016 01:15 - 03.07.2016 01:30","42965","44794"
"03.07.2016 01:30 - 03.07.2016 01:45","42530","43960"
"03.07.2016 01:45 - 03.07.2016 02:00","42285","43387"
"03.07.2016 02:00 - 03.07.2016 02:15","41858","43123"
"03.07.2016 02:15 - 03.07.2016 02:30","41621","42651"
"03.07.2016 02:30 - 03.07.2016 02:45","41369","42385"
"03.07.2016 02:45 - 03.07.2016 03:00","41219","41835"
"03.07.2016 03:00 - 03.07.2016 03:15","41022","41780"
"03.07.2016 03:15 - 03.07.2016 03:30","40877","41565"
"03.07.2016 03:30 - 03.07.2016 03:45","40785","41384"
"03.07.2016 03:45 - 03.07.2016 04:00","40667","41218"
"03.07.2016 04:00 - 03.07.2016 04:15","40847","41482"
"03.07.2016 04:15 - 03.07.2016 04:30","40851","41360"
"03.07.2016 04:30 - 03.07.2016 04:45","40702","41087"
"03.07.2016 04:45 - 03.07.2016 05:00","40644","40990"
"03.07.2016 05:00 - 03.07.2016 05:15","40598","40786"
"03.07.2016 05:15 - 03.07.2016 05:30","40429","40570"
"03.07.2016 05:30 - 03.07.2016 05:45","40373","40402"
"03.07.2016 05:45 - 03.07.2016 06:00","40408","40499"
"03.07.2016 06:00 - 03.07.2016 06:15","40775","41044"
"03.07.2016 06:15 - 03.07.2016 06:30","41094","41384"
"03.07.2016 06:30 - 03.07.2016 06:45","41447","41793"
"03.07.2016 06:45 - 03.07.2016 07:00","41855","42358"
"03.07.2016 07:00 - 03.07.2016 07:15","42994","43032"
"03.07.2016 07:15 - 03.07.2016 07:30","43650","43828"
"03.07.2016 07:30 - 03.07.2016 07:45","44847","44707"
"03.07.2016 07:45 - 03.07.2016 08:00","45771","45559"
"03.07.2016 08:00 - 03.07.2016 08:15","47008","46854"
"03.07.2016 08:15 - 03.07.2016 08:30","47973","47620"
"03.07.2016 08:30 - 03.07.2016 08:45","48989","48576"
"03.07.2016 08:45 - 03.07.2016 09:00","49675","49525"
"03.07.2016 09:00 - 03.07.2016 09:15","50423","50552"
"03.07.2016 09:15 - 03.07.2016 09:30","51412","51580"
"03.07.2016 09:30 - 03.07.2016 09:45","52195","52480"
"03.07.2016 09:45 - 03.07.2016 10:00","52838","53192"
"03.07.2016 10:00 - 03.07.2016 10:15","53370","53852"
"03.07.2016 10:15 - 03.07.2016 10:30","54274","54330"
"03.07.2016 10:30 - 03.07.2016 10:45","54897","55264"
"03.07.2016 10:45 - 03.07.2016 11:00","55282","55629"
"03.07.2016 11:00 - 03.07.2016 11:15","55925","56318"
"03.07.2016 11:15 - 03.07.2016 11:30","56534","57361"
"03.07.2016 11:30 - 03.07.2016 11:45","57115","57803"
"03.07.2016 11:45 - 03.07.2016 12:00","56772","57689"
"03.07.2016 12:00 - 03.07.2016 12:15","56829","57547"
"03.07.2016 12:15 - 03.07.2016 12:30","56599","57060"
"03.07.2016 12:30 - 03.07.2016 12:45","55728","56762"
"03.07.2016 12:45 - 03.07.2016 13:00","55246","56604"
"03.07.2016 13:00 - 03.07.2016 13:15","54487","56123"
"03.07.2016 13:15 - 03.07.2016 13:30","54490","55879"
"03.07.2016 13:30 - 03.07.2016 13:45","53804","54836"
"03.07.2016 13:45 - 03.07.2016 14:00","53179","54200"
"03.07.2016 14:00 - 03.07.2016 14:15","52860","53777"
"03.07.2016 14:15 - 03.07.2016 14:30","52416","53588"
"03.07.2016 14:30 - 03.07.2016 14:45","52189","53179"
"03.07.2016 14:45 - 03.07.2016 15:00","52496","52883"
"03.07.2016 15:00 - 03.07.2016 15:15","52467","52729"
"03.07.2016 15:15 - 03.07.2016 15:30","52208","52512"
"03.07.2016 15:30 - 03.07.2016 15:45","51886","52431"
"03.07.2016 15:45 - 03.07.2016 16:00","52175","52498"
"03.07.2016 16:00 - 03.07.2016 16:15","52198","52646"
"03.07.2016 16:15 - 03.07.2016 16:30","52885","52461"
"03.07.2016 16:30 - 03.07.2016 16:45","52450","52559"
"03.07.2016 16:45 - 03.07.2016 17:00","52372","52602"
"03.07.2016 17:00 - 03.07.2016 17:15","53012","53309"
"03.07.2016 17:15 - 03.07.2016 17:30","53079","53716"
"03.07.2016 17:30 - 03.07.2016 17:45","53719","54212"
"03.07.2016 17:45 - 03.07.2016 18:00","53592","54680"
"03.07.2016 18:00 - 03.07.2016 18:15","54271","55037"
"03.07.2016 18:15 - 03.07.2016 18:30","54213","55407"
"03.07.2016 18:30 - 03.07.2016 18:45","54298","55486"
"03.07.2016 18:45 - 03.07.2016 19:00","54409","55642"
"03.07.2016 19:00 - 03.07.2016 19:15","54313","55782"
"03.07.2016 19:15 - 03.07.2016 19:30","54190","55588"
"03.07.2016 19:30 - 03.07.2016 19:45","53840","55631"
"03.07.2016 19:45 - 03.07.2016 20:00","53393","55499"
"03.07.2016 20:00 - 03.07.2016 20:15","53941","55253"
"03.07.2016 20:15 - 03.07.2016 20:30","53903","54897"
"03.07.2016 20:30 - 03.07.2016 20:45","53046","54795"
"03.07.2016 20:45 - 03.07.2016 21:00","52970","54476"
"03.07.2016 21:00 - 03.07.2016 21:15","52489","54429"
"03.07.2016 21:15 - 03.07.2016 21:30","52265","53974"
"03.07.2016 21:30 - 03.07.2016 21:45","52606","54094"
"03.07.2016 21:45 - 03.07.2016 22:00","53195","54453"
"03.07.2016 22:00 - 03.07.2016 22:15","53549","55355"
"03.07.2016 22:15 - 03.07.2016 22:30","53476","55025"
"03.07.2016 22:30 - 03.07.2016 22:45","52839","54354"
"03.07.2016 22:45 - 03.07.2016 23:00","51891","53323"
"03.07.2016 23:00 - 03.07.2016 23:15","50295","52410"
"03.07.2016 23:15 - 03.07.2016 23:30","49276","51312"
"03.07.2016 23:30 - 03.07.2016 23:45","48511","50375"
"03.07.2016 23:45 - 04.07.2016 00:00","47753","49436"
"04.07.2016 00:00 - 04.07.2016 00:15","46929","48680"
"04.07.2016 00:15 - 04.07.2016 00:30","46304","48049"
"04.07.2016 00:30 - 04.07.2016 00:45","45812","47494"
"04.07.2016 00:45 - 04.07.2016 01:00","45389","46823"
"04.07.2016 01:00 - 04.07.2016 01:15","44588","46286"
"04.07.2016 01:15 - 04.07.2016 01:30","44301","45830"
"04.07.2016 01:30 - 04.07.2016 01:45","44118","45592"
"04.07.2016 01:45 - 04.07.2016 02:00","43843","45360"
"04.07.2016 02:00 - 04.07.2016 02:15","43566","45035"
"04.07.2016 02:15 - 04.07.2016 02:30","43361","44902"
"04.07.2016 02:30 - 04.07.2016 02:45","43350","45032"
"04.07.2016 02:45 - 04.07.2016 03:00","43270","45090"
"04.07.2016 03:00 - 04.07.2016 03:15","43392","45061"
"04.07.2016 03:15 - 04.07.2016 03:30","43346","44903"
"04.07.2016 03:30 - 04.07.2016 03:45","43390","45144"
"04.07.2016 03:45 - 04.07.2016 04:00","43445","45338"
"04.07.2016 04:00 - 04.07.2016 04:15","44393","45947"
"04.07.2016 04:15 - 04.07.2016 04:30","44814","46358"
"04.07.2016 04:30 - 04.07.2016 04:45","45280","47005"
"04.07.2016 04:45 - 04.07.2016 05:00","45873","47553"
"04.07.2016 05:00 - 04.07.2016 05:15","47621","48956"
"04.07.2016 05:15 - 04.07.2016 05:30","48262","49919"
"04.07.2016 05:30 - 04.07.2016 05:45","49890","51326"
"04.07.2016 05:45 - 04.07.2016 06:00","51689","53617"
"04.07.2016 06:00 - 04.07.2016 06:15","55617","56995"
"04.07.2016 06:15 - 04.07.2016 06:30","58129","59548"
"04.07.2016 06:30 - 04.07.2016 06:45","60267","61893"
"04.07.2016 06:45 - 04.07.2016 07:00","61901","63821"
"04.07.2016 07:00 - 04.07.2016 07:15","64409","66134"
"04.07.2016 07:15 - 04.07.2016 07:30","65708","67340"
"04.07.2016 07:30 - 04.07.2016 07:45","66895","68768"
"04.07.2016 07:45 - 04.07.2016 08:00","68197","69995"
"04.07.2016 08:00 - 04.07.2016 08:15","69531","71294"
"04.07.2016 08:15 - 04.07.2016 08:30","69999","72035"
"04.07.2016 08:30 - 04.07.2016 08:45","70320","72596"
"04.07.2016 08:45 - 04.07.2016 09:00","70366","73081"
"04.07.2016 09:00 - 04.07.2016 09:15","69948","72958"
"04.07.2016 09:15 - 04.07.2016 09:30","70657","73360"
"04.07.2016 09:30 - 04.07.2016 09:45","70929","74134"
"04.07.2016 09:45 - 04.07.2016 10:00","71136","74620"
"04.07.2016 10:00 - 04.07.2016 10:15","71720","74977"
"04.07.2016 10:15 - 04.07.2016 10:30","72002","75189"
"04.07.2016 10:30 - 04.07.2016 10:45","72369","75767"
"04.07.2016 10:45 - 04.07.2016 11:00","72875","76225"
"04.07.2016 11:00 - 04.07.2016 11:15","73265","76760"
"04.07.2016 11:15 - 04.07.2016 11:30","73766","77384"
"04.07.2016 11:30 - 04.07.2016 11:45","73930","77721"
"04.07.2016 11:45 - 04.07.2016 12:00","74085","77783"
"04.07.2016 12:00 - 04.07.2016 12:15","72578","77170"
"04.07.2016 12:15 - 04.07.2016 12:30","71936","76821"
"04.07.2016 12:30 - 04.07.2016 12:45","72433","76721"
"04.07.2016 12:45 - 04.07.2016 13:00","71602","76781"
"04.07.2016 13:00 - 04.07.2016 13:15","72305","76798"
"04.07.2016 13:15 - 04.07.2016 13:30","71656","76676"
"04.07.2016 13:30 - 04.07.2016 13:45","71347","76136"
"04.07.2016 13:45 - 04.07.2016 14:00","71180","75276"
"04.07.2016 14:00 - 04.07.2016 14:15","71138","75159"
"04.07.2016 14:15 - 04.07.2016 14:30","71012","74960"
"04.07.2016 14:30 - 04.07.2016 14:45","70182","74739"
"04.07.2016 14:45 - 04.07.2016 15:00","70341","74489"
"04.07.2016 15:00 - 04.07.2016 15:15","69978","74059"
"04.07.2016 15:15 - 04.07.2016 15:30","69900","73600"
"04.07.2016 15:30 - 04.07.2016 15:45","69839","73236"
"04.07.2016 15:45 - 04.07.2016 16:00","69273","72760"
"04.07.2016 16:00 - 04.07.2016 16:15","68432","72122"
"04.07.2016 16:15 - 04.07.2016 16:30","67892","71928"
"04.07.2016 16:30 - 04.07.2016 16:45","66933","71504"
"04.07.2016 16:45 - 04.07.2016 17:00","68364","71196"
"04.07.2016 17:00 - 04.07.2016 17:15","67761","71026"
"04.07.2016 17:15 - 04.07.2016 17:30","68281","70926"
"04.07.2016 17:30 - 04.07.2016 17:45","67594","71214"
"04.07.2016 17:45 - 04.07.2016 18:00","68142","71291"
"04.07.2016 18:00 - 04.07.2016 18:15","68322","70659"
"04.07.2016 18:15 - 04.07.2016 18:30","67264","70267"
"04.07.2016 18:30 - 04.07.2016 18:45","67706","70260"
"04.07.2016 18:45 - 04.07.2016 19:00","67873","70352"
"04.07.2016 19:00 - 04.07.2016 19:15","67247","70196"
"04.07.2016 19:15 - 04.07.2016 19:30","66503","69437"
"04.07.2016 19:30 - 04.07.2016 19:45","66298","69155"
"04.07.2016 19:45 - 04.07.2016 20:00","66426","68826"
"04.07.2016 20:00 - 04.07.2016 20:15","65692","68163"
"04.07.2016 20:15 - 04.07.2016 20:30","64594","67173"
"04.07.2016 20:30 - 04.07.2016 20:45","64215","66224"
"04.07.2016 20:45 - 04.07.2016 21:00","63325","65595"
"04.07.2016 21:00 - 04.07.2016 21:15","63236","65189"
"04.07.2016 21:15 - 04.07.2016 21:30","62317","64577"
"04.07.2016 21:30 - 04.07.2016 21:45","62109","63996"
"04.07.2016 21:45 - 04.07.2016 22:00","60248","63529"
"04.07.2016 22:00 - 04.07.2016 22:15","59765","63699"
"04.07.2016 22:15 - 04.07.2016 22:30","58934","63012"
"04.07.2016 22:30 - 04.07.2016 22:45","57786","61709"
"04.07.2016 22:45 - 04.07.2016 23:00","56875","60276"
"04.07.2016 23:00 - 04.07.2016 23:15","55625","59092"
"04.07.2016 23:15 - 04.07.2016 23:30","54530","57664"
"04.07.2016 23:30 - 04.07.2016 23:45","53421","56465"
"04.07.2016 23:45 - 05.07.2016 00:00","52794","55527"
"05.07.2016 00:00 - 05.07.2016 00:15","51813","54202"
"05.07.2016 00:15 - 05.07.2016 00:30","51215","53403"
"05.07.2016 00:30 - 05.07.2016 00:45","50761","52714"
"05.07.2016 00:45 - 05.07.2016 01:00","50169","52234"
"05.07.2016 01:00 - 05.07.2016 01:15","49432","51686"
"05.07.2016 01:15 - 05.07.2016 01:30","49082","51239"
"05.07.2016 01:30 - 05.07.2016 01:45","48746","50804"
"05.07.2016 01:45 - 05.07.2016 02:00","48449","50476"
"05.07.2016 02:00 - 05.07.2016 02:15","47997","50254"
"05.07.2016 02:15 - 05.07.2016 02:30","47809","49824"
"05.07.2016 02:30 - 05.07.2016 02:45","47695","49865"
"05.07.2016 02:45 - 05.07.2016 03:00","47741","49970"
"05.07.2016 03:00 - 05.07.2016 03:15","47775","49815"
"05.07.2016 03:15 - 05.07.2016 03:30","47677","49782"
"05.07.2016 03:30 - 05.07.2016 03:45","47708","49785"
"05.07.2016 03:45 - 05.07.2016 04:00","47823","50084"
"05.07.2016 04:00 - 05.07.2016 04:15","48365","50380"
"05.07.2016 04:15 - 05.07.2016 04:30","48635","50636"
"05.07.2016 04:30 - 05.07.2016 04:45","48941","51095"
"05.07.2016 04:45 - 05.07.2016 05:00","49413","51839"
"05.07.2016 05:00 - 05.07.2016 05:15","50761","53296"
"05.07.2016 05:15 - 05.07.2016 05:30","51379","53967"
"05.07.2016 05:30 - 05.07.2016 05:45","52479","55158"
"05.07.2016 05:45 - 05.07.2016 06:00","53909","56876"
"05.07.2016 06:00 - 05.07.2016 06:15","57605","60188"
"05.07.2016 06:15 - 05.07.2016 06:30","59875","62762"
"05.07.2016 06:30 - 05.07.2016 06:45","61717","64221"
"05.07.2016 06:45 - 05.07.2016 07:00","63250","65939"
"05.07.2016 07:00 - 05.07.2016 07:15","65634","68561"
"05.07.2016 07:15 - 05.07.2016 07:30","66919","70020"
"05.07.2016 07:30 - 05.07.2016 07:45","67938","71253"
"05.07.2016 07:45 - 05.07.2016 08:00","69138","72206"
"05.07.2016 08:00 - 05.07.2016 08:15","70192","73617"
"05.07.2016 08:15 - 05.07.2016 08:30","70649","74179"
"05.07.2016 08:30 - 05.07.2016 08:45","71045","74740"
"05.07.2016 08:45 - 05.07.2016 09:00","70939","75245"
"05.07.2016 09:00 - 05.07.2016 09:15","70523","75413"
"05.07.2016 09:15 - 05.07.2016 09:30","71195","75766"
"05.07.2016 09:30 - 05.07.2016 09:45","71468","76317"
"05.07.2016 09:45 - 05.07.2016 10:00","71787","77109"
"05.07.2016 10:00 - 05.07.2016 10:15","72298","77819"
"05.07.2016 10:15 - 05.07.2016 10:30","72631","78138"
"05.07.2016 10:30 - 05.07.2016 10:45","72866","78435"
"05.07.2016 10:45 - 05.07.2016 11:00","73426","78993"
"05.07.2016 11:00 - 05.07.2016 11:15","73996","79350"
"05.07.2016 11:15 - 05.07.2016 11:30","74479","79600"
"05.07.2016 11:30 - 05.07.2016 11:45","74605","79898"
"05.07.2016 11:45 - 05.07.2016 12:00","74280","80008"
"05.07.2016 12:00 - 05.07.2016 12:15","73802","79346"
"05.07.2016 12:15 - 05.07.2016 12:30","73601","78837"
"05.07.2016 12:30 - 05.07.2016 12:45","73496","78643"
"05.07.2016 12:45 - 05.07.2016 13:00","73433","78770"
"05.07.2016 13:00 - 05.07.2016 13:15","72909","78752"
"05.07.2016 13:15 - 05.07.2016 13:30","72687","78518"
"05.07.2016 13:30 - 05.07.2016 13:45","72404","78078"
"05.07.2016 13:45 - 05.07.2016 14:00","71884","77730"
"05.07.2016 14:00 - 05.07.2016 14:15","71871","77586"
"05.07.2016 14:15 - 05.07.2016 14:30","71781","77474"
"05.07.2016 14:30 - 05.07.2016 14:45","71494","77253"
"05.07.2016 14:45 - 05.07.2016 15:00","71787","77264"
"05.07.2016 15:00 - 05.07.2016 15:15","71942","77207"
"05.07.2016 15:15 - 05.07.2016 15:30","70958","76784"
"05.07.2016 15:30 - 05.07.2016 15:45","70886","76959"
"05.07.2016 15:45 - 05.07.2016 16:00","70181","76234"
"05.07.2016 16:00 - 05.07.2016 16:15","70124","75754"
"05.07.2016 16:15 - 05.07.2016 16:30","69797","75519"
"05.07.2016 16:30 - 05.07.2016 16:45","69538","75369"
"05.07.2016 16:45 - 05.07.2016 17:00","69253","74959"
"05.07.2016 17:00 - 05.07.2016 17:15","68754","74887"
"05.07.2016 17:15 - 05.07.2016 17:30","69122","74753"
"05.07.2016 17:30 - 05.07.2016 17:45","69161","74587"
"05.07.2016 17:45 - 05.07.2016 18:00","69153","74242"
"05.07.2016 18:00 - 05.07.2016 18:15","69060","73787"
"05.07.2016 18:15 - 05.07.2016 18:30","68563","73471"
"05.07.2016 18:30 - 05.07.2016 18:45","68658","73416"
"05.07.2016 18:45 - 05.07.2016 19:00","68723","73104"
"05.07.2016 19:00 - 05.07.2016 19:15","68650","72369"
"05.07.2016 19:15 - 05.07.2016 19:30","68089","71920"
"05.07.2016 19:30 - 05.07.2016 19:45","67655","71523"
"05.07.2016 19:45 - 05.07.2016 20:00","67185","70998"
"05.07.2016 20:00 - 05.07.2016 20:15","66494","69906"
"05.07.2016 20:15 - 05.07.2016 20:30","65804","68837"
"05.07.2016 20:30 - 05.07.2016 20:45","65127","68086"
"05.07.2016 20:45 - 05.07.2016 21:00","64510","67334"
"05.07.2016 21:00 - 05.07.2016 21:15","63483","66824"
"05.07.2016 21:15 - 05.07.2016 21:30","62932","66275"
"05.07.2016 21:30 - 05.07.2016 21:45","62343","65747"
"05.07.2016 21:45 - 05.07.2016 22:00","61700","65213"
"05.07.2016 22:00 - 05.07.2016 22:15","61137","65058"
"05.07.2016 22:15 - 05.07.2016 22:30","60360","64394"
"05.07.2016 22:30 - 05.07.2016 22:45","59288","63214"
"05.07.2016 22:45 - 05.07.2016 23:00","58036","61907"
"05.07.2016 23:00 - 05.07.2016 23:15","56396","60328"
"05.07.2016 23:15 - 05.07.2016 23:30","55125","59444"
"05.07.2016 23:30 - 05.07.2016 23:45","54087","58114"
"05.07.2016 23:45 - 06.07.2016 00:00","53405","56972"
"06.07.2016 00:00 - 06.07.2016 00:15","52438","55717"
"06.07.2016 00:15 - 06.07.2016 00:30","51822","55167"
"06.07.2016 00:30 - 06.07.2016 00:45","51193","54407"
"06.07.2016 00:45 - 06.07.2016 01:00","50651","53561"
"06.07.2016 01:00 - 06.07.2016 01:15","49859","52845"
"06.07.2016 01:15 - 06.07.2016 01:30","49377","52279"
"06.07.2016 01:30 - 06.07.2016 01:45","48995","51870"
"06.07.2016 01:45 - 06.07.2016 02:00","48706","51557"
"06.07.2016 02:00 - 06.07.2016 02:15","48233","51053"
"06.07.2016 02:15 - 06.07.2016 02:30","48012","50993"
"06.07.2016 02:30 - 06.07.2016 02:45","48038","50779"
"06.07.2016 02:45 - 06.07.2016 03:00","47881","50624"
"06.07.2016 03:00 - 06.07.2016 03:15","47962","50623"
"06.07.2016 03:15 - 06.07.2016 03:30","47976","50717"
"06.07.2016 03:30 - 06.07.2016 03:45","47985","50734"
"06.07.2016 03:45 - 06.07.2016 04:00","48105","50747"
"06.07.2016 04:00 - 06.07.2016 04:15","48671","51227"
"06.07.2016 04:15 - 06.07.2016 04:30","48966","51412"
"06.07.2016 04:30 - 06.07.2016 04:45","49317","51950"
"06.07.2016 04:45 - 06.07.2016 05:00","49833","52467"
"06.07.2016 05:00 - 06.07.2016 05:15","51217","53680"
"06.07.2016 05:15 - 06.07.2016 05:30","51672","54154"
"06.07.2016 05:30 - 06.07.2016 05:45","52858","55240"
"06.07.2016 05:45 - 06.07.2016 06:00","54217","57140"
"06.07.2016 06:00 - 06.07.2016 06:15","57816","60582"
"06.07.2016 06:15 - 06.07.2016 06:30","60109","62629"
"06.07.2016 06:30 - 06.07.2016 06:45","61913","64572"
"06.07.2016 06:45 - 06.07.2016 07:00","63425","66519"
"06.07.2016 07:00 - 06.07.2016 07:15","65825","68869"
"06.07.2016 07:15 - 06.07.2016 07:30","67001","70241"
"06.07.2016 07:30 - 06.07.2016 07:45","68011","71337"
"06.07.2016 07:45 - 06.07.2016 08:00","69078","72454"
"06.07.2016 08:00 - 06.07.2016 08:15","69931","73677"
"06.07.2016 08:15 - 06.07.2016 08:30","70857","74449"
"06.07.2016 08:30 - 06.07.2016 08:45","71310","74982"
"06.07.2016 08:45 - 06.07.2016 09:00","71400","75263"
"06.07.2016 09:00 - 06.07.2016 09:15","71170","75414"
"06.07.2016 09:15 - 06.07.2016 09:30","71816","76125"
"06.07.2016 09:30 - 06.07.2016 09:45","72101","76887"
"06.07.2016 09:45 - 06.07.2016 10:00","72426","77103"
"06.07.2016 10:00 - 06.07.2016 10:15","72867","77460"
"06.07.2016 10:15 - 06.07.2016 10:30","73285","77911"
"06.07.2016 10:30 - 06.07.2016 10:45","73551","78520"
"06.07.2016 10:45 - 06.07.2016 11:00","74020","78874"
"06.07.2016 11:00 - 06.07.2016 11:15","74347","79423"
"06.07.2016 11:15 - 06.07.2016 11:30","74912","80058"
"06.07.2016 11:30 - 06.07.2016 11:45","75177","80329"
"06.07.2016 11:45 - 06.07.2016 12:00","74691","80034"
"06.07.2016 12:00 - 06.07.2016 12:15","74261","79175"
"06.07.2016 12:15 - 06.07.2016 12:30","73948","78487"
"06.07.2016 12:30 - 06.07.2016 12:45","73917","78358"
"06.07.2016 12:45 - 06.07.2016 13:00","74180","78320"
"06.07.2016 13:00 - 06.07.2016 13:15","73868","78282"
"06.07.2016 13:15 - 06.07.2016 13:30","73652","78375"
"06.07.2016 13:30 - 06.07.2016 13:45","73175","78088"
"06.07.2016 13:45 - 06.07.2016 14:00","72495","77243"
"06.07.2016 14:00 - 06.07.2016 14:15","72190","76773"
"06.07.2016 14:15 - 06.07.2016 14:30","71984","76791"
"06.07.2016 14:30 - 06.07.2016 14:45","71577","76580"
"06.07.2016 14:45 - 06.07.2016 15:00","72109","76157"
"06.07.2016 15:00 - 06.07.2016 15:15","72149","75868"
"06.07.2016 15:15 - 06.07.2016 15:30","71213","75298"
"06.07.2016 15:30 - 06.07.2016 15:45","70917","74861"
"06.07.2016 15:45 - 06.07.2016 16:00","70464","74427"
"06.07.2016 16:00 - 06.07.2016 16:15","70226","74139"
"06.07.2016 16:15 - 06.07.2016 16:30","70243","73632"
"06.07.2016 16:30 - 06.07.2016 16:45","69664","73083"
"06.07.2016 16:45 - 06.07.2016 17:00","69030","73288"
"06.07.2016 17:00 - 06.07.2016 17:15","68743","72930"
"06.07.2016 17:15 - 06.07.2016 17:30","68972","72633"
"06.07.2016 17:30 - 06.07.2016 17:45","69092","72670"
"06.07.2016 17:45 - 06.07.2016 18:00","68979","72672"
"06.07.2016 18:00 - 06.07.2016 18:15","68654","72041"
"06.07.2016 18:15 - 06.07.2016 18:30","68468","71761"
"06.07.2016 18:30 - 06.07.2016 18:45","68574","71766"
"06.07.2016 18:45 - 06.07.2016 19:00","68625","71646"
"06.07.2016 19:00 - 06.07.2016 19:15","68302","71346"
"06.07.2016 19:15 - 06.07.2016 19:30","67656","70600"
"06.07.2016 19:30 - 06.07.2016 19:45","67305","70191"
"06.07.2016 19:45 - 06.07.2016 20:00","66898","69840"
"06.07.2016 20:00 - 06.07.2016 20:15","66033","68722"
"06.07.2016 20:15 - 06.07.2016 20:30","65272","67826"
"06.07.2016 20:30 - 06.07.2016 20:45","64560","67158"
"06.07.2016 20:45 - 06.07.2016 21:00","63966","66378"
"06.07.2016 21:00 - 06.07.2016 21:15","63050","65681"
"06.07.2016 21:15 - 06.07.2016 21:30","62684","65136"
"06.07.2016 21:30 - 06.07.2016 21:45","62071","64397"
"06.07.2016 21:45 - 06.07.2016 22:00","61700","63984"
"06.07.2016 22:00 - 06.07.2016 22:15","61219","63884"
"06.07.2016 22:15 - 06.07.2016 22:30","60711","63205"
"06.07.2016 22:30 - 06.07.2016 22:45","59684","62029"
"06.07.2016 22:45 - 06.07.2016 23:00","58391","60813"
"06.07.2016 23:00 - 06.07.2016 23:15","56626","59316"
"06.07.2016 23:15 - 06.07.2016 23:30","55416","58114"
"06.07.2016 23:30 - 06.07.2016 23:45","54348","56714"
"06.07.2016 23:45 - 07.07.2016 00:00","53605","55477"
"07.07.2016 00:00 - 07.07.2016 00:15","53361","54752"
"07.07.2016 00:15 - 07.07.2016 00:30","52653","53721"
"07.07.2016 00:30 - 07.07.2016 00:45","52078","53112"
"07.07.2016 00:45 - 07.07.2016 01:00","51482","52466"
"07.07.2016 01:00 - 07.07.2016 01:15","50738","51978"
"07.07.2016 01:15 - 07.07.2016 01:30","50239","51740"
"07.07.2016 01:30 - 07.07.2016 01:45","49980","51213"
"07.07.2016 01:45 - 07.07.2016 02:00","49622","50798"
"07.07.2016 02:00 - 07.07.2016 02:15","49094","50314"
"07.07.2016 02:15 - 07.07.2016 02:30","48885","50060"
"07.07.2016 02:30 - 07.07.2016 02:45","49017","50017"
"07.07.2016 02:45 - 07.07.2016 03:00","48932","49975"
"07.07.2016 03:00 - 07.07.2016 03:15","48986","50085"
"07.07.2016 03:15 - 07.07.2016 03:30","48852","50154"
"07.07.2016 03:30 - 07.07.2016 03:45","48818","50288"
"07.07.2016 03:45 - 07.07.2016 04:00","48905","50147"
"07.07.2016 04:00 - 07.07.2016 04:15","49420","50631"
"07.07.2016 04:15 - 07.07.2016 04:30","49730","50932"
"07.07.2016 04:30 - 07.07.2016 04:45","50095","51439"
"07.07.2016 04:45 - 07.07.2016 05:00","50499","51685"
"07.07.2016 05:00 - 07.07.2016 05:15","51647","52885"
"07.07.2016 05:15 - 07.07.2016 05:30","52186","53499"
"07.07.2016 05:30 - 07.07.2016 05:45","53253","54737"
"07.07.2016 05:45 - 07.07.2016 06:00","54734","56207"
"07.07.2016 06:00 - 07.07.2016 06:15","58374","59681"
"07.07.2016 06:15 - 07.07.2016 06:30","60616","62217"
"07.07.2016 06:30 - 07.07.2016 06:45","62350","64045"
"07.07.2016 06:45 - 07.07.2016 07:00","63846","65593"
