"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"03.01.2016 02:30 - 03.01.2016 02:45","42433","47956"
"03.01.2016 02:45 - 03.01.2016 03:00","42013","47779"
"03.01.2016 03:00 - 03.01.2016 03:15","41803","47668"
"03.01.2016 03:15 - 03.01.2016 03:30","41676","47627"
"03.01.2016 03:30 - 03.01.2016 03:45","41721","47547"
"03.01.2016 03:45 - 03.01.2016 04:00","41455","47413"
"03.01.2016 04:00 - 03.01.2016 04:15","41587","47526"
"03.01.2016 04:15 - 03.01.2016 04:30","41679","47450"
"03.01.2016 04:30 - 03.01.2016 04:45","41297","47542"
"03.01.2016 04:45 - 03.01.2016 05:00","41479","47410"
"03.01.2016 05:00 - 03.01.2016 05:15","41665","47586"
"03.01.2016 05:15 - 03.01.2016 05:30","41254","47320"
"03.01.2016 05:30 - 03.01.2016 05:45","41032","47169"
"03.01.2016 05:45 - 03.01.2016 06:00","40445","46854"
"03.01.2016 06:00 - 03.01.2016 06:15","40032","46346"
"03.01.2016 06:15 - 03.01.2016 06:30","39803","46512"
"03.01.2016 06:30 - 03.01.2016 06:45","40261","46905"
"03.01.2016 06:45 - 03.01.2016 07:00","40159","47242"
"03.01.2016 07:00 - 03.01.2016 07:15","41664","48041"
"03.01.2016 07:15 - 03.01.2016 07:30","41894","48433"
"03.01.2016 07:30 - 03.01.2016 07:45","42717","49419"
"03.01.2016 07:45 - 03.01.2016 08:00","43546","50100"
"03.01.2016 08:00 - 03.01.2016 08:15","44257","50993"
"03.01.2016 08:15 - 03.01.2016 08:30","44969","51796"
"03.01.2016 08:30 - 03.01.2016 08:45","45462","52454"
"03.01.2016 08:45 - 03.01.2016 09:00","46419","53271"
"03.01.2016 09:00 - 03.01.2016 09:15","47707","54371"
"03.01.2016 09:15 - 03.01.2016 09:30","48447","55287"
"03.01.2016 09:30 - 03.01.2016 09:45","49053","56320"
"03.01.2016 09:45 - 03.01.2016 10:00","49967","57384"
"03.01.2016 10:00 - 03.01.2016 10:15","50532","58087"
"03.01.2016 10:15 - 03.01.2016 10:30","51616","58843"
