Time (CET/CEST),Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
01.01.2021 09:30 - 01.01.2021 09:45,42824,43609
01.01.2021 09:45 - 01.01.2021 10:00,43075,44207
01.01.2021 10:00 - 01.01.2021 10:15,43607,45117
01.01.2021 10:15 - 01.01.2021 10:30,44727,45837
01.01.2021 10:30 - 01.01.2021 10:45,45295,46320
01.01.2021 10:45 - 01.01.2021 11:00,45667,46909
01.01.2021 11:00 - 01.01.2021 11:15,46562,47562
01.01.2021 11:15 - 01.01.2021 11:30,47161,48401
01.01.2021 11:30 - 01.01.2021 11:45,47600,49001
01.01.2021 11:45 - 01.01.2021 12:00,47685,49208
01.01.2021 12:00 - 01.01.2021 12:15,47477,49806
01.01.2021 12:15 - 01.01.2021 12:30,47172,49919
01.01.2021 12:30 - 01.01.2021 12:45,46929,49816
01.01.2021 12:45 - 01.01.2021 13:00,46585,49425
01.01.2021 13:00 - 01.01.2021 13:15,46227,49246
01.01.2021 13:15 - 01.01.2021 13:30,45956,48983
01.01.2021 13:30 - 01.01.2021 13:45,45801,48787
01.01.2021 13:45 - 01.01.2021 14:00,45197,48472
01.01.2021 14:00 - 01.01.2021 14:15,44996,48127
01.01.2021 14:15 - 01.01.2021 14:30,45150,47940
01.01.2021 14:30 - 01.01.2021 14:45,44637,47852
01.01.2021 14:45 - 01.01.2021 15:00,44605,47699
01.01.2021 15:00 - 01.01.2021 15:15,44858,48013
01.01.2021 15:15 - 01.01.2021 15:30,45002,47980
01.01.2021 15:30 - 01.01.2021 15:45,44937,48300
01.01.2021 15:45 - 01.01.2021 16:00,44821,48460
01.01.2021 16:00 - 01.01.2021 16:15,45408,48667
01.01.2021 16:15 - 01.01.2021 16:30,46031,49377
01.01.2021 16:30 - 01.01.2021 16:45,46958,50519
01.01.2021 16:45 - 01.01.2021 17:00,47881,51584
01.01.2021 17:00 - 01.01.2021 17:15,49654,52820
01.01.2021 17:15 - 01.01.2021 17:30,50041,53532
01.01.2021 17:30 - 01.01.2021 17:45,50499,54006
01.01.2021 17:45 - 01.01.2021 18:00,50596,54260
01.01.2021 18:00 - 01.01.2021 18:15,51524,54467
01.01.2021 18:15 - 01.01.2021 18:30,51294,54451
01.01.2021 18:30 - 01.01.2021 18:45,51152,54512
01.01.2021 18:45 - 01.01.2021 19:00,50565,54048
01.01.2021 19:00 - 01.01.2021 19:15,50900,53900
01.01.2021 19:15 - 01.01.2021 19:30,50033,53440
01.01.2021 19:30 - 01.01.2021 19:45,49766,53158
01.01.2021 19:45 - 01.01.2021 20:00,49722,52811
01.01.2021 20:00 - 01.01.2021 20:15,49279,52004
01.01.2021 20:15 - 01.01.2021 20:30,49002,51303
01.01.2021 20:30 - 01.01.2021 20:45,48541,50620
01.01.2021 20:45 - 01.01.2021 21:00,48304,50136
01.01.2021 21:00 - 01.01.2021 21:15,48027,49772
01.01.2021 21:15 - 01.01.2021 21:30,48008,49333
01.01.2021 21:30 - 01.01.2021 21:45,47518,48999
01.01.2021 21:45 - 01.01.2021 22:00,47534,48833
01.01.2021 22:00 - 01.01.2021 22:15,48108,49479
01.01.2021 22:15 - 01.01.2021 22:30,47603,48937
01.01.2021 22:30 - 01.01.2021 22:45,47029,48282
01.01.2021 22:45 - 01.01.2021 23:00,46611,47704
01.01.2021 23:00 - 01.01.2021 23:15,45441,47016
01.01.2021 23:15 - 01.01.2021 23:30,44590,46524
01.01.2021 23:30 - 01.01.2021 23:45,44052,45829
01.01.2021 23:45 - 02.01.2021 00:00,43585,45098
02.01.2021 00:00 - 02.01.2021 00:15,43725,44133
02.01.2021 00:15 - 02.01.2021 00:30,43046,43470
02.01.2021 00:30 - 02.01.2021 00:45,42577,42997
02.01.2021 00:45 - 02.01.2021 01:00,42150,42587
02.01.2021 01:00 - 02.01.2021 01:15,41975,42036
02.01.2021 01:15 - 02.01.2021 01:30,41617,41626
02.01.2021 01:30 - 02.01.2021 01:45,41471,41266
02.01.2021 01:45 - 02.01.2021 02:00,41325,40887
02.01.2021 02:00 - 02.01.2021 02:15,41002,40625
02.01.2021 02:15 - 02.01.2021 02:30,40825,40499
02.01.2021 02:30 - 02.01.2021 02:45,40841,40351
02.01.2021 02:45 - 02.01.2021 03:00,40689,40327
02.01.2021 03:00 - 02.01.2021 03:15,40595,40147
02.01.2021 03:15 - 02.01.2021 03:30,40647,40176
02.01.2021 03:30 - 02.01.2021 03:45,40657,40425
02.01.2021 03:45 - 02.01.2021 04:00,40694,40448
02.01.2021 04:00 - 02.01.2021 04:15,40636,40755
02.01.2021 04:15 - 02.01.2021 04:30,40513,40934
02.01.2021 04:30 - 02.01.2021 04:45,40758,41080
02.01.2021 04:45 - 02.01.2021 05:00,40654,41129
02.01.2021 05:00 - 02.01.2021 05:15,40714,41402
02.01.2021 05:15 - 02.01.2021 05:30,40871,41178
02.01.2021 05:30 - 02.01.2021 05:45,41093,41378
02.01.2021 05:45 - 02.01.2021 06:00,41427,41713
02.01.2021 06:00 - 02.01.2021 06:15,41632,42220
02.01.2021 06:15 - 02.01.2021 06:30,42111,42496
02.01.2021 06:30 - 02.01.2021 06:45,42322,42894
02.01.2021 06:45 - 02.01.2021 07:00,42963,43201
02.01.2021 07:00 - 02.01.2021 07:15,43658,43869
02.01.2021 07:15 - 02.01.2021 07:30,44081,44360
02.01.2021 07:30 - 02.01.2021 07:45,45011,44734
02.01.2021 07:45 - 02.01.2021 08:00,46038,45318
02.01.2021 08:00 - 02.01.2021 08:15,47129,45757
02.01.2021 08:15 - 02.01.2021 08:30,47932,46481
02.01.2021 08:30 - 02.01.2021 08:45,48415,46962
02.01.2021 08:45 - 02.01.2021 09:00,49060,47647
02.01.2021 09:00 - 02.01.2021 09:15,50176,48670
02.01.2021 09:15 - 02.01.2021 09:30,51144,49462
02.01.2021 09:30 - 02.01.2021 09:45,51749,50077
02.01.2021 09:45 - 02.01.2021 10:00,52266,50601
02.01.2021 10:00 - 02.01.2021 10:15,52943,51217
02.01.2021 10:15 - 02.01.2021 10:30,53266,51848
02.01.2021 10:30 - 02.01.2021 10:45,53575,52438
02.01.2021 10:45 - 02.01.2021 11:00,53894,52761
02.01.2021 11:00 - 02.01.2021 11:15,54143,53393
02.01.2021 11:15 - 02.01.2021 11:30,54741,54043
02.01.2021 11:30 - 02.01.2021 11:45,54870,54443
02.01.2021 11:45 - 02.01.2021 12:00,54883,54671
02.01.2021 12:00 - 02.01.2021 12:15,54574,55157
02.01.2021 12:15 - 02.01.2021 12:30,54485,55142
02.01.2021 12:30 - 02.01.2021 12:45,54088,55111
02.01.2021 12:45 - 02.01.2021 13:00,53855,54859
02.01.2021 13:00 - 02.01.2021 13:15,53545,54625
02.01.2021 13:15 - 02.01.2021 13:30,53286,54286
02.01.2021 13:30 - 02.01.2021 13:45,53273,54023
02.01.2021 13:45 - 02.01.2021 14:00,52573,53717
02.01.2021 14:00 - 02.01.2021 14:15,52487,53430
02.01.2021 14:15 - 02.01.2021 14:30,52472,53230
02.01.2021 14:30 - 02.01.2021 14:45,52291,53176
02.01.2021 14:45 - 02.01.2021 15:00,52180,52958
02.01.2021 15:00 - 02.01.2021 15:15,52188,53072
02.01.2021 15:15 - 02.01.2021 15:30,52097,53192
02.01.2021 15:30 - 02.01.2021 15:45,52322,53353
02.01.2021 15:45 - 02.01.2021 16:00,52545,53361
02.01.2021 16:00 - 02.01.2021 16:15,52857,53930
02.01.2021 16:15 - 02.01.2021 16:30,53389,54444
02.01.2021 16:30 - 02.01.2021 16:45,54095,55414
02.01.2021 16:45 - 02.01.2021 17:00,55012,56341
02.01.2021 17:00 - 02.01.2021 17:15,56047,57437
02.01.2021 17:15 - 02.01.2021 17:30,56620,57953
02.01.2021 17:30 - 02.01.2021 17:45,57060,58596
02.01.2021 17:45 - 02.01.2021 18:00,57475,58822
02.01.2021 18:00 - 02.01.2021 18:15,57628,58979
02.01.2021 18:15 - 02.01.2021 18:30,57096,58806
02.01.2021 18:30 - 02.01.2021 18:45,56923,58534
02.01.2021 18:45 - 02.01.2021 19:00,56468,58108
02.01.2021 19:00 - 02.01.2021 19:15,56178,57525
02.01.2021 19:15 - 02.01.2021 19:30,55599,57042
02.01.2021 19:30 - 02.01.2021 19:45,54920,56435
02.01.2021 19:45 - 02.01.2021 20:00,54428,55681
02.01.2021 20:00 - 02.01.2021 20:15,53630,54580
02.01.2021 20:15 - 02.01.2021 20:30,52297,53573
02.01.2021 20:30 - 02.01.2021 20:45,51217,52787
02.01.2021 20:45 - 02.01.2021 21:00,50592,51895
02.01.2021 21:00 - 02.01.2021 21:15,50296,51465
02.01.2021 21:15 - 02.01.2021 21:30,49598,50985
02.01.2021 21:30 - 02.01.2021 21:45,49176,50517
02.01.2021 21:45 - 02.01.2021 22:00,48814,50226
02.01.2021 22:00 - 02.01.2021 22:15,49327,50833
02.01.2021 22:15 - 02.01.2021 22:30,48774,50322
02.01.2021 22:30 - 02.01.2021 22:45,48163,49609
02.01.2021 22:45 - 02.01.2021 23:00,47442,49130
02.01.2021 23:00 - 02.01.2021 23:15,46544,48725
02.01.2021 23:15 - 02.01.2021 23:30,45924,48132
02.01.2021 23:30 - 02.01.2021 23:45,45217,47814
02.01.2021 23:45 - 03.01.2021 00:00,44643,47208
03.01.2021 00:00 - 03.01.2021 00:15,43275,45942
03.01.2021 00:15 - 03.01.2021 00:30,42692,45138
03.01.2021 00:30 - 03.01.2021 00:45,42157,44590
03.01.2021 00:45 - 03.01.2021 01:00,41790,44081
03.01.2021 01:00 - 03.01.2021 01:15,41117,43640
03.01.2021 01:15 - 03.01.2021 01:30,40573,43034
03.01.2021 01:30 - 03.01.2021 01:45,40019,42563
03.01.2021 01:45 - 03.01.2021 02:00,39661,42294
03.01.2021 02:00 - 03.01.2021 02:15,39765,41999
03.01.2021 02:15 - 03.01.2021 02:30,39615,41759
03.01.2021 02:30 - 03.01.2021 02:45,39287,41573
03.01.2021 02:45 - 03.01.2021 03:00,39201,41568
03.01.2021 03:00 - 03.01.2021 03:15,39180,41643
03.01.2021 03:15 - 03.01.2021 03:30,39280,41723
03.01.2021 03:30 - 03.01.2021 03:45,38968,41847
03.01.2021 03:45 - 03.01.2021 04:00,39101,41862
03.01.2021 04:00 - 03.01.2021 04:15,39008,42152
03.01.2021 04:15 - 03.01.2021 04:30,39008,42162
03.01.2021 04:30 - 03.01.2021 04:45,38938,42288
03.01.2021 04:45 - 03.01.2021 05:00,38935,42475
03.01.2021 05:00 - 03.01.2021 05:15,38951,42978
03.01.2021 05:15 - 03.01.2021 05:30,38616,42849
03.01.2021 05:30 - 03.01.2021 05:45,38629,42935
03.01.2021 05:45 - 03.01.2021 06:00,38257,42699
03.01.2021 06:00 - 03.01.2021 06:15,38013,42486
03.01.2021 06:15 - 03.01.2021 06:30,37845,42706
03.01.2021 06:30 - 03.01.2021 06:45,38157,42933
03.01.2021 06:45 - 03.01.2021 07:00,38077,43226
03.01.2021 07:00 - 03.01.2021 07:15,38381,43631
03.01.2021 07:15 - 03.01.2021 07:30,38688,43800
03.01.2021 07:30 - 03.01.2021 07:45,39084,44271
03.01.2021 07:45 - 03.01.2021 08:00,39802,45034
03.01.2021 08:00 - 03.01.2021 08:15,40598,46044
03.01.2021 08:15 - 03.01.2021 08:30,41079,46889
03.01.2021 08:30 - 03.01.2021 08:45,41881,47393
03.01.2021 08:45 - 03.01.2021 09:00,42765,48218
03.01.2021 09:00 - 03.01.2021 09:15,43538,49284
03.01.2021 09:15 - 03.01.2021 09:30,44610,50198
03.01.2021 09:30 - 03.01.2021 09:45,45355,51048
03.01.2021 09:45 - 03.01.2021 10:00,45743,51671
03.01.2021 10:00 - 03.01.2021 10:15,46733,52198
03.01.2021 10:15 - 03.01.2021 10:30,47728,53081
03.01.2021 10:30 - 03.01.2021 10:45,48165,53738
03.01.2021 10:45 - 03.01.2021 11:00,48638,54458
03.01.2021 11:00 - 03.01.2021 11:15,49379,55642
03.01.2021 11:15 - 03.01.2021 11:30,50290,56431
03.01.2021 11:30 - 03.01.2021 11:45,50770,57203
03.01.2021 11:45 - 03.01.2021 12:00,50966,57520
03.01.2021 12:00 - 03.01.2021 12:15,51174,57595
03.01.2021 12:15 - 03.01.2021 12:30,51129,57462
03.01.2021 12:30 - 03.01.2021 12:45,50524,57331
03.01.2021 12:45 - 03.01.2021 13:00,50062,57061
03.01.2021 13:00 - 03.01.2021 13:15,49881,56802
03.01.2021 13:15 - 03.01.2021 13:30,49688,56618
03.01.2021 13:30 - 03.01.2021 13:45,49285,56314
03.01.2021 13:45 - 03.01.2021 14:00,48601,55887
03.01.2021 14:00 - 03.01.2021 14:15,48243,55473
03.01.2021 14:15 - 03.01.2021 14:30,47990,55195
03.01.2021 14:30 - 03.01.2021 14:45,47585,55259
03.01.2021 14:45 - 03.01.2021 15:00,47762,55133
03.01.2021 15:00 - 03.01.2021 15:15,47482,55592
03.01.2021 15:15 - 03.01.2021 15:30,47555,55465
03.01.2021 15:30 - 03.01.2021 15:45,47594,55604
03.01.2021 15:45 - 03.01.2021 16:00,47767,55555
03.01.2021 16:00 - 03.01.2021 16:15,47791,55654
03.01.2021 16:15 - 03.01.2021 16:30,48383,56460
03.01.2021 16:30 - 03.01.2021 16:45,49298,57312
03.01.2021 16:45 - 03.01.2021 17:00,50327,58094
03.01.2021 17:00 - 03.01.2021 17:15,51396,59274
03.01.2021 17:15 - 03.01.2021 17:30,52185,60178
03.01.2021 17:30 - 03.01.2021 17:45,53034,60405
03.01.2021 17:45 - 03.01.2021 18:00,53293,60326
03.01.2021 18:00 - 03.01.2021 18:15,53815,60372
03.01.2021 18:15 - 03.01.2021 18:30,53546,60297
03.01.2021 18:30 - 03.01.2021 18:45,53481,59835
03.01.2021 18:45 - 03.01.2021 19:00,53242,59468
03.01.2021 19:00 - 03.01.2021 19:15,53187,58885
03.01.2021 19:15 - 03.01.2021 19:30,52623,58350
03.01.2021 19:30 - 03.01.2021 19:45,52325,57724
03.01.2021 19:45 - 03.01.2021 20:00,51891,57278
03.01.2021 20:00 - 03.01.2021 20:15,51623,56905
03.01.2021 20:15 - 03.01.2021 20:30,50754,56086
03.01.2021 20:30 - 03.01.2021 20:45,49989,55318
03.01.2021 20:45 - 03.01.2021 21:00,49273,54373
03.01.2021 21:00 - 03.01.2021 21:15,48995,54456
03.01.2021 21:15 - 03.01.2021 21:30,48629,54155
03.01.2021 21:30 - 03.01.2021 21:45,48046,53853
03.01.2021 21:45 - 03.01.2021 22:00,48370,53673
03.01.2021 22:00 - 03.01.2021 22:15,48991,54000
03.01.2021 22:15 - 03.01.2021 22:30,48585,53670
03.01.2021 22:30 - 03.01.2021 22:45,48016,52776
03.01.2021 22:45 - 03.01.2021 23:00,47118,51953
03.01.2021 23:00 - 03.01.2021 23:15,46511,51787
03.01.2021 23:15 - 03.01.2021 23:30,45796,51065
03.01.2021 23:30 - 03.01.2021 23:45,44965,50174
03.01.2021 23:45 - 04.01.2021 00:00,44460,49589
04.01.2021 00:00 - 04.01.2021 00:15,44784,48852
04.01.2021 00:15 - 04.01.2021 00:30,43981,48379
04.01.2021 00:30 - 04.01.2021 00:45,43645,47851
04.01.2021 00:45 - 04.01.2021 01:00,43168,47462
04.01.2021 01:00 - 04.01.2021 01:15,42447,46880
04.01.2021 01:15 - 04.01.2021 01:30,41903,46443
04.01.2021 01:30 - 04.01.2021 01:45,41738,46353
04.01.2021 01:45 - 04.01.2021 02:00,41332,46164
04.01.2021 02:00 - 04.01.2021 02:15,41213,46288
04.01.2021 02:15 - 04.01.2021 02:30,41157,46242
04.01.2021 02:30 - 04.01.2021 02:45,41108,46246
04.01.2021 02:45 - 04.01.2021 03:00,40995,46212
04.01.2021 03:00 - 04.01.2021 03:15,41016,46139
04.01.2021 03:15 - 04.01.2021 03:30,41477,46169
04.01.2021 03:30 - 04.01.2021 03:45,41261,46244
04.01.2021 03:45 - 04.01.2021 04:00,41597,46404
04.01.2021 04:00 - 04.01.2021 04:15,42245,46915
04.01.2021 04:15 - 04.01.2021 04:30,42620,47178
04.01.2021 04:30 - 04.01.2021 04:45,42932,47696
04.01.2021 04:45 - 04.01.2021 05:00,43239,48121
04.01.2021 05:00 - 04.01.2021 05:15,43692,48940
04.01.2021 05:15 - 04.01.2021 05:30,44305,49539
04.01.2021 05:30 - 04.01.2021 05:45,44979,50392
04.01.2021 05:45 - 04.01.2021 06:00,45743,51504
04.01.2021 06:00 - 04.01.2021 06:15,47311,53476
04.01.2021 06:15 - 04.01.2021 06:30,48889,54985
04.01.2021 06:30 - 04.01.2021 06:45,49781,56468
04.01.2021 06:45 - 04.01.2021 07:00,50679,58137
04.01.2021 07:00 - 04.01.2021 07:15,51766,60640
04.01.2021 07:15 - 04.01.2021 07:30,52975,61660
04.01.2021 07:30 - 04.01.2021 07:45,54282,62600
04.01.2021 07:45 - 04.01.2021 08:00,55182,63441
04.01.2021 08:00 - 04.01.2021 08:15,56543,64831
04.01.2021 08:15 - 04.01.2021 08:30,57440,65424
04.01.2021 08:30 - 04.01.2021 08:45,57669,65994
04.01.2021 08:45 - 04.01.2021 09:00,58106,66694
04.01.2021 09:00 - 04.01.2021 09:15,58533,67151
04.01.2021 09:15 - 04.01.2021 09:30,59210,67605
04.01.2021 09:30 - 04.01.2021 09:45,59711,68097
04.01.2021 09:45 - 04.01.2021 10:00,60048,68473
04.01.2021 10:00 - 04.01.2021 10:15,60420,68653
04.01.2021 10:15 - 04.01.2021 10:30,60724,69033
04.01.2021 10:30 - 04.01.2021 10:45,61370,69332
04.01.2021 10:45 - 04.01.2021 11:00,62220,69766
04.01.2021 11:00 - 04.01.2021 11:15,62427,70335
04.01.2021 11:15 - 04.01.2021 11:30,62930,70877
04.01.2021 11:30 - 04.01.2021 11:45,63374,71275
04.01.2021 11:45 - 04.01.2021 12:00,63260,71560
04.01.2021 12:00 - 04.01.2021 12:15,62886,71766
04.01.2021 12:15 - 04.01.2021 12:30,62939,71751
04.01.2021 12:30 - 04.01.2021 12:45,62876,71742
04.01.2021 12:45 - 04.01.2021 13:00,62743,71472
04.01.2021 13:00 - 04.01.2021 13:15,62630,71381
04.01.2021 13:15 - 04.01.2021 13:30,62301,71211
04.01.2021 13:30 - 04.01.2021 13:45,61803,70925
04.01.2021 13:45 - 04.01.2021 14:00,61105,70248
04.01.2021 14:00 - 04.01.2021 14:15,61030,70273
04.01.2021 14:15 - 04.01.2021 14:30,60786,69970
04.01.2021 14:30 - 04.01.2021 14:45,60754,69819
04.01.2021 14:45 - 04.01.2021 15:00,60475,69633
04.01.2021 15:00 - 04.01.2021 15:15,60414,70036
04.01.2021 15:15 - 04.01.2021 15:30,59873,69777
04.01.2021 15:30 - 04.01.2021 15:45,59912,69584
04.01.2021 15:45 - 04.01.2021 16:00,59777,69326
04.01.2021 16:00 - 04.01.2021 16:15,59842,69993
04.01.2021 16:15 - 04.01.2021 16:30,60281,70131
04.01.2021 16:30 - 04.01.2021 16:45,60743,70662
04.01.2021 16:45 - 04.01.2021 17:00,61363,71450
04.01.2021 17:00 - 04.01.2021 17:15,61839,72020
04.01.2021 17:15 - 04.01.2021 17:30,62562,72402
04.01.2021 17:30 - 04.01.2021 17:45,63434,72638
04.01.2021 17:45 - 04.01.2021 18:00,63833,72798
04.01.2021 18:00 - 04.01.2021 18:15,63599,72545
04.01.2021 18:15 - 04.01.2021 18:30,63725,72149
04.01.2021 18:30 - 04.01.2021 18:45,63433,71941
04.01.2021 18:45 - 04.01.2021 19:00,63578,71381
04.01.2021 19:00 - 04.01.2021 19:15,63025,70868
04.01.2021 19:15 - 04.01.2021 19:30,62095,70347
04.01.2021 19:30 - 04.01.2021 19:45,61810,69836
04.01.2021 19:45 - 04.01.2021 20:00,61162,68988
04.01.2021 20:00 - 04.01.2021 20:15,60032,67993
04.01.2021 20:15 - 04.01.2021 20:30,58670,66996
04.01.2021 20:30 - 04.01.2021 20:45,57794,65971
04.01.2021 20:45 - 04.01.2021 21:00,56993,64984
04.01.2021 21:00 - 04.01.2021 21:15,56515,64331
04.01.2021 21:15 - 04.01.2021 21:30,56230,63580
04.01.2021 21:30 - 04.01.2021 21:45,55286,62822
04.01.2021 21:45 - 04.01.2021 22:00,54946,61970
04.01.2021 22:00 - 04.01.2021 22:15,55114,61869
04.01.2021 22:15 - 04.01.2021 22:30,54513,61228
04.01.2021 22:30 - 04.01.2021 22:45,53909,60047
04.01.2021 22:45 - 04.01.2021 23:00,52959,59103
04.01.2021 23:00 - 04.01.2021 23:15,51919,58077
04.01.2021 23:15 - 04.01.2021 23:30,51087,57327
04.01.2021 23:30 - 04.01.2021 23:45,50345,56700
04.01.2021 23:45 - 05.01.2021 00:00,49886,56042
05.01.2021 00:00 - 05.01.2021 00:15,46496,54196
05.01.2021 00:15 - 05.01.2021 00:30,45804,53136
05.01.2021 00:30 - 05.01.2021 00:45,45453,52547
05.01.2021 00:45 - 05.01.2021 01:00,44930,52199
05.01.2021 01:00 - 05.01.2021 01:15,44292,52005
05.01.2021 01:15 - 05.01.2021 01:30,43746,51740
05.01.2021 01:30 - 05.01.2021 01:45,43364,51362
05.01.2021 01:45 - 05.01.2021 02:00,43272,50996
05.01.2021 02:00 - 05.01.2021 02:15,43327,50663
05.01.2021 02:15 - 05.01.2021 02:30,43287,50462
05.01.2021 02:30 - 05.01.2021 02:45,43341,50248
05.01.2021 02:45 - 05.01.2021 03:00,43451,50486
05.01.2021 03:00 - 05.01.2021 03:15,43416,50712
05.01.2021 03:15 - 05.01.2021 03:30,43979,50714
05.01.2021 03:30 - 05.01.2021 03:45,43954,50825
05.01.2021 03:45 - 05.01.2021 04:00,44056,50917
05.01.2021 04:00 - 05.01.2021 04:15,44401,51228
05.01.2021 04:15 - 05.01.2021 04:30,44789,51330
05.01.2021 04:30 - 05.01.2021 04:45,45025,51579
05.01.2021 04:45 - 05.01.2021 05:00,45501,51763
05.01.2021 05:00 - 05.01.2021 05:15,46193,53151
05.01.2021 05:15 - 05.01.2021 05:30,46704,53512
05.01.2021 05:30 - 05.01.2021 05:45,47343,54093
05.01.2021 05:45 - 05.01.2021 06:00,48211,55357
05.01.2021 06:00 - 05.01.2021 06:15,50197,57625
05.01.2021 06:15 - 05.01.2021 06:30,51806,59037
05.01.2021 06:30 - 05.01.2021 06:45,52943,60055
05.01.2021 06:45 - 05.01.2021 07:00,54274,61185
05.01.2021 07:00 - 05.01.2021 07:15,55760,63167
05.01.2021 07:15 - 05.01.2021 07:30,55233,63971
05.01.2021 07:30 - 05.01.2021 07:45,56169,64980
05.01.2021 07:45 - 05.01.2021 08:00,56969,66175
05.01.2021 08:00 - 05.01.2021 08:15,58094,67053
05.01.2021 08:15 - 05.01.2021 08:30,58437,67659
05.01.2021 08:30 - 05.01.2021 08:45,58523,68015
05.01.2021 08:45 - 05.01.2021 09:00,59096,68345
05.01.2021 09:00 - 05.01.2021 09:15,59108,68892
05.01.2021 09:15 - 05.01.2021 09:30,59826,69354
05.01.2021 09:30 - 05.01.2021 09:45,60540,69697
05.01.2021 09:45 - 05.01.2021 10:00,60988,69813
05.01.2021 10:00 - 05.01.2021 10:15,61167,69831
05.01.2021 10:15 - 05.01.2021 10:30,61511,70459
05.01.2021 10:30 - 05.01.2021 10:45,61785,70683
05.01.2021 10:45 - 05.01.2021 11:00,62218,70988
05.01.2021 11:00 - 05.01.2021 11:15,62517,71365
05.01.2021 11:15 - 05.01.2021 11:30,62845,71920
05.01.2021 11:30 - 05.01.2021 11:45,62925,72418
05.01.2021 11:45 - 05.01.2021 12:00,63127,72586
05.01.2021 12:00 - 05.01.2021 12:15,63152,72557
05.01.2021 12:15 - 05.01.2021 12:30,63175,72442
05.01.2021 12:30 - 05.01.2021 12:45,62996,72450
05.01.2021 12:45 - 05.01.2021 13:00,63214,72138
05.01.2021 13:00 - 05.01.2021 13:15,62607,72094
05.01.2021 13:15 - 05.01.2021 13:30,62151,71774
05.01.2021 13:30 - 05.01.2021 13:45,61796,71293
05.01.2021 13:45 - 05.01.2021 14:00,60983,70637
05.01.2021 14:00 - 05.01.2021 14:15,60775,70777
05.01.2021 14:15 - 05.01.2021 14:30,60269,70604
05.01.2021 14:30 - 05.01.2021 14:45,60642,70389
05.01.2021 14:45 - 05.01.2021 15:00,60635,70182
05.01.2021 15:00 - 05.01.2021 15:15,60287,70273
05.01.2021 15:15 - 05.01.2021 15:30,60090,70026
05.01.2021 15:30 - 05.01.2021 15:45,60351,70068
05.01.2021 15:45 - 05.01.2021 16:00,60194,69730
05.01.2021 16:00 - 05.01.2021 16:15,60219,70155
05.01.2021 16:15 - 05.01.2021 16:30,60596,70405
05.01.2021 16:30 - 05.01.2021 16:45,61086,70908
05.01.2021 16:45 - 05.01.2021 17:00,61800,71561
05.01.2021 17:00 - 05.01.2021 17:15,62511,72034
05.01.2021 17:15 - 05.01.2021 17:30,62981,72291
05.01.2021 17:30 - 05.01.2021 17:45,63517,72770
05.01.2021 17:45 - 05.01.2021 18:00,63872,72823
05.01.2021 18:00 - 05.01.2021 18:15,63792,72536
05.01.2021 18:15 - 05.01.2021 18:30,63566,72216
05.01.2021 18:30 - 05.01.2021 18:45,63418,71916
05.01.2021 18:45 - 05.01.2021 19:00,62987,71241
05.01.2021 19:00 - 05.01.2021 19:15,62471,70589
05.01.2021 19:15 - 05.01.2021 19:30,61480,70156
05.01.2021 19:30 - 05.01.2021 19:45,61334,69707
05.01.2021 19:45 - 05.01.2021 20:00,60882,69255
